http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
Jefferson County High School (Georgia),996
Technische Universität Bergakademie Freiberg,4787
Penn State Greater Allegheny,744
Angelo State University College of Sciences,1127
Maret School,655
Université de Salerne,34023
Walter Sisulu University,21863
哈尔滨师范大学,32791
South African College Schools,671
Institut Supérieur de Logistique Industrielle,121
Université KIMEP,2754
Country Christian School,273
Western Pennsylvania School for the Deaf,203
St Benedict's Catholic College,837
University of Manila,9001
Burrell School District,1802
Valentines High School,1600
テキサス海事大学,2411
Carlisle Area School District,4834
Marianas High School,1471
"St. Lawrence High School, Kolkata",2978
Community College of Baltimore County,72691
ライス大学,6628
Duale Hochschule Baden-Württemberg,33000
广东科学技术职业学院,16708
جامعة صفاقس,47136
Landwirtschaftliche und Veterinärmedizinische Universität Iași,4345
諾爾蘭大學,6022
Kahili Adventist School,27
"Wayland Academy, Wisconsin",75
"Unity High School (Tolono, Illinois)",485
East Lycoming School District,1702
Belle Vernon Area School District,2879
Universität Suhar,6394
Highland Park High School (New Jersey),451
Warrior Run School District,1581
Trevor G. Browne High School,3082
Florida International University College of Law,476
威廉米特大学法学院,324
Ballou High School,1205
Hylton Red House School,1302
Columbia Borough School District,1301
Uniwersytet Pavla Jozefa Šafárika w Koszycach,5614
أكاديمية بوخارست للدراسات الاقتصادية,21672
Uniwersytet w Lund,40043
Hosanna Christian School,327
Yangon International School,560
Université du Rosaire,12194
Winter Springs High School,1964
"South High School (Torrance, California)",2239
Louise-Schroeder-Gymnasium,1028
Universidad de Niza Sophia Antipolis,26159
Université des sciences appliquées de Lahti,5086
Университет Перуджи,27224
Montgomery High School (New Jersey),1768
Bukidnon State University,15624
National Yunlin University of Science and Technology,9431
"Lincoln School (Providence, Rhode Island)",418
Arkansas Baptist College,1047
Livingston High School (New Jersey),1779
Universidade de Aveiro,12166
Woodhaven-Brownstown School District,5282
جامعة البوليتكنيك في ميلانو,40076
Freeport Area School District,1941
Collège Saint-Joseph (Darjeeling),1161
Augusta High School (Wisconsin),200
Fourah Bay College,3371
Università di Tecnologia e di Economia di Budapest,20441
Gainesville Independent School District,2527
Tarleton Academy,566
Blessed Cardinal Newman Catholic High School,1256
Quarrydale Academy,1063
Universidad de las Ryūkyūs,8139
Barnwell School,1766
جامعة كييتي,30821
Episcopal Academy,1191
Крагуевацкий университет,13482
West Somerset College,1076
Edward Sheerien School,766
中林高中,3918
Università di León,13
Strathcona-Tweedsmuir School,716
Notre Dame College Prep,822
台中美國學校,173
أكاديمية كونمينغ الدولية,67
"Southwestern High School (Hanover, Indiana)",401
