http://dbpedia.org/ontology/Skier,http://dbpedia.org/ontology/weight
"Храпек, Каролина",72170
"Хубер, Мартин Иосифович",98364
Svetlana Gladyševa,72324
Marina Kiehl,61070
"Хальварссон, Ян",70525
Roberto Nani,76132
Agnieszka Gąsienica-Daniel,60456
Mykhaylo Renzhyn,79941
Luca De Aliprandini,73900
Irene Epple,62644
"Гонсеница-Даниэль, Агнешка",57478
Mauro Caviezel,88556
Lavinia Chrystal,63238
"Гран, Стуре",77539
Marija Kirkowa,67975
Jan Halvarsson,75292
Nadeschda Nikolajewna Patrakejewa,62429
Martin Bendík,92722
Marina Kiehl,60122
Emily Bamford,66205
Elis Wiklund,77995
Swietłana Gładyszewa,71610
"Фалат, Матей",79019
Adeline Baud,58151
Marko Vukićević,94011
Marina Kiehl,61470
Constantinos Papamichael,63702
