http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Сет (футбольный клуб),8026
نادي زاناكو,9736
AS SONABEL,4917
Diagoras F.C.,3800
CD Ronda,2023
CD Plaza Amador,6091
CP Olivenza,5190
Club Social Deportivo León de Huánuco,20649
Кастриоти (футбольный клуб),10288
Inter Moengotapoe,5207
Maccabi Herzliya,7844
FC Bassin d'Arcachon,1025
Club Irapuato,29383
Хорн (футбольный клуб),3383
Hellenic Athletic,5184
Sporting Clube da Praia,8246
Sekondi Hasaacas,19189
Anagennisi Karditsa,6072
SD Atlético Albericia,1020
Tauro Fútbol Club,30943
Mora CF,623
Millwall Lionesses Ladies Football Club,19355
Deportivo Pereira,30381
Klubi Futbollistik Hajvalia,987
"Скала (футбольный клуб, Скала)",2024
Universidad Católica de Murcia Club de Fútbol,6377
Action 21 Charleroi,3068
C.R.D. Libolo,10126
Локарно (футбольный клуб),10554
Deportivo Educación,9700
Yeedzin FC,26212
Surat Thani Futsal Club,4594
Al Ahli Ad-Dauha,18506
FC Dinamo Kírov,1963
Baltimore Comets,48784
Akademik Sofia,10198
Жуазейренсе,7707
TSF Ditzingen,3950
Club Deportivo Ferroviarios,215
Roan United,8368
Савойя (футбольный клуб),10450
Club Sportivo Italiano,7869
Águia de Marabá Futebol Clube,4402
Club Deportiu Tortosa,5941
Killymoon Rangers F.C.,692
Ballingarry A.F.C.,1017
Olympique Club de Safi,14780
Tractor Sazi Tabriz Football Club,68577
FC Vitebsk,8441
نادي ترنتشين,3489
Sportivo Italiano Buenos Aires,7878
AS Maya,1924
Unión Deportiva Melilla,12342
Association sportive Moulins Football 03 Auvergne,3564
FC TVMK Tallinn,4978
Southern Oregon Fuego,1641
Deportes Santa Cruz,4839
TJ Sokol Tasovice,1217
GKS Bełchatów,5307
Futebol Clube de Felgueiras,7829
Real Estelí Fútbol Club,5086
Urawa Red Diamonds Ladies,20678
نادي ريكرياتيفو ديسبورتيفو دو ليبولو,9621
Дахук (футбольный клуб),30064
US Sainte-Marienne,1495
Vallecas Club de Fútbol,2569
Manchester City F.C. Reserves and Academy,6858
SC Erebuni Dilijan,2032
Ла-Шо-де-Фон (футбольный клуб),13254
دفاع تاجنانت,9841
TSV Vestenbergsgreuth,5922
Tacuarembó Fútbol Club,11552
UMF Víkingur,1164
US Rumelange,2967
União São João Esporte Clube,21385
FC Tekstilshchik Kamyshin,10323
Corporación Club Deportes Tolima,31383
León de Huánuco,19173
Skála ÍF,1941
FK Fakel Woronesch,32243
FC KooTeePee,4637
ACS Ksar,10087
NK Iskra Bugojno,11781
Club Atlético Douglas Haig,15257
Beijing Guoan,67517
SC Kriens,5346
横浜フリューゲルス,14463
Institución Deportiva Colegio Nacional de Iquitos,23257
CD Lagun Onak,1517
Spartak Płowdiw,3333
PSIM Jogjakarta,25472
Esporte Clube Guarani,3913
Saint-Pryvé Saint-Hilaire FC,1764
FK Fakel Voronej,32886
Corporación Social Deportiva y Cultural de Pereira,30426
Carabobo Fútbol Club,9972
Swift Hesperange,3097
FC Lugano,6263
Les Astres Football Club,30087
Unión Deportiva Fuerteventura,2088
Free State Stars,20617
Granada CF,24892
Milsami Orgiejów,2606
Deportivo Guastatoya,2936
FKS Stal Mielec,6739
Borussia Mönchengladbach,52006
Nacional Táchira,40762
Carpi FC 1909,4247
MC Oran,39471
Dynamos Football Club (Afrique du Sud),20382
FC Felgueiras,7668
Ascot United F.C.,1141
PSAP Sigli,15061
VV Capelle,3898
Kickers Emden,7263
Витебск (футбольный клуб),7981
Nagdlunguaq-48,2087
AO Kavala,10851
Мелилья (футбольный клуб),12511
Foolad Natanz F.C.,5044
Club Deportivo Coslada,2441
Stade Centrafricain,20947
Erbil SC,41247
FK Mladost Podgorica,2028
كيلتي هارتز,2399
نادي كهر دورود لرستان,3454
FK Zemun Belgrado,10421
Borussia Dortmund,78583
Antalyaspor Kulübü,34150
Deportivo Galicia,15294
Futbol'nogo kluba CSKA Pamir,6709
Győri ETO Football Club,16254
Ballspielverein Borussia 1909 e. V. Dortmund,80572
Audax Italiano La Florida,11928
SC Hakoah Berlin,5699
伊斯克拉斯塔利足球俱樂部,4642
布羅尼體育會,15408
Icheon Citizen,24130
FK Gostivar,979
SC Fürstenfeldbruck,4962
Pumas Morelos,14509
Смена-Зенит,22243
FC Chiasso,10630
"Рязань (футбольный клуб, 1995)",24037
Nagdlunguaq-48,1937
Lokomotiv Gorna Orjachovitsa,10442
Paxtakor Taschkent,34539
US Ivry,1949
Dakar UC,10384
Akonangui Football Club,4136
Jeunesse sportive de Kabylie,15264
Darwen Football Club,3857
Comunicaciones Buenos Aires,3670
Apolonia Fier,6639
CD As Pontes,1958
Sănătatea Cluj,2004
Sirijus Klaipėda,8747
Heather St John's F.C.,1531
Kırklarelispor,1965
Athletic Club,50771
大田コレイル,17780
Pachuca Juniors,27600
برسيبورا جايابورا,29721
Valdez S.C.,12265
Club Deportivo Lugo,7771
Racing Club Vichy football,5066
FK Banga Gargždai,2048
CD Feirense,5422
KS Iliria,3149
FK Rostów,15834
