http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Schneider Kreuznach,665
Howaldtswerke-Deutsche Werft,2375
Bay View Bank,673
Companhia Brasileira de Aluminio,6345
Restaurant Brands,4583
ペガサス航空,3667
Bergenshalvøens Kommunale Kraftselskap,1011
Bestinvest,480
أستيلاس,17172
Axel Springer (entreprise),14488
Bank of Ireland,11120
ICON Aircraft,105
LG顯示,48481
Krones,11793
Frontiers Media,138
Mobexpert,3378
Taito (entreprise),614
Lyon & Lyon,245
Abiomed,776
BAE Systems Inc.,52250
LGT Bank,1957
IGM Financial,4812
جوال (شركة إتصالات),872
Siemens Healthcare,45387
China National Nuclear Corporation,96044
WuXi PharmaTech,6683
Disqus,61
Nutreco,9692
Eidos Montreal,477
Amer Sports,8194
UCoz,104
Nordea,28910
Lumon,771
SEAT,12567
Jawwal,927
Pinsent Masons,2456
BankAtlantic,1083
National Bank of Uzbekistan,9570
テキサス・インスツルメンツ,31411
MRV Engenharia,5508
Spotify,1674
Limagrain,8740
Calumet Photographic,199
Strands,99
Grupo Petrópolis,2408
T-Mobile US,51799
Empire Resorts,326
Sunwing Airlines,1442
Tavant Technologies,1474
Umicore,13944
Mexx,6181
Trex,657
Pacific Data Images,439
Spotify,1582
Daegu-Gyeongbuk Free Economic Zone,131
ヴァンシ,181895
National Mineral Development Corporation,6115
Oyak Renault Otomobil Fabrikaları,5720
Partners Harvard Medical International,50
Luxottica,81407
Marvelous Entertainment,183
Conseil international pour les initiatives écologiques locales,206
Emsa (article ménager),248
Jayco,2089
Jerini,137
Beter Bed,2489
Energy Transfer Partners,5044
HSBC Bank Bermuda,1141
Nude Maker,10
DLF (company),11952
GFI Group,2060
Volkswagen AG,633408
Australia and New Zealand Banking Group,51167
ديجيتال إكوبمينت,138916
Continente (Supermarket),27364
Kao Corporation,33620
إي إف,38727
Sensory Sweep Studios,104
Kaspersky Lab,2942
Coop Norge,2501
Belle International,73767
SouthPeak Games,98
ヌードメーカー,10
Nintendo Entertainment Analysis & Development,709
Dubek,285
加拿大滙豐銀行,5929
P&H Mining,2484
FEXCO,2297
Lionbridge,10106
Procter & Gamble,114783
Bugatti Automobiles SAS,71
ViaSat,3161
Rouses,4406
Julius Meinl,558
バーダル,35
Whirlpool Corporation,95012
KLMオランダ航空,33621
Tamedia,3497
Charles River Ventures,19
Viverso,145
Oxford BioMedica,75
Cumerio,718
Anglo Irish Bank,0
Paz Oil,2005
Wells Fargo,264550
SieMatic,481
カナダ原子力公社,3247
Medical Mutual of Ohio,2441
JTEKT,10513
Zoho Corporation,4692
مجموعة الخرافي,19943
Mizuho Financial Group,57270
MLP AG,1504
Bavaria,1012
ArticlesBase,12
Schering AG,26598
Grezzo,55
Milestone (compañía),16
Bombardier Aerospace,24624
Pacific Access,97
川崎重工業,33562
ヘイズ・スペシャリスト・リクルートメント,8721
FirstGroup,109212
日立製作所,352306
Saxo Bank,1459
Agrale,12895
GFI Group,2073
Caleres,12853
Old Dutch Foods,1041
ブラジル・フーズ,110137
Fitch Ratings,2043
スターム・ルガー,1996
大日本住友製藥,7330
Petrof,1004
ThyssenKrupp,153225
GGB Bearing Technology,1117
Warner Music Group,3659
Bwin,1607
"Герцог, Фокс и Неэман",269
Enagás,1165
China Resources Vanguard,14239
京福電氣鐵道,845
PrivatBank,0
Cellcom (Israel),7260
Qt Development Frameworks,199
SieMatic,487
Cavalier Corporation,1013
三越伊勢丹控股,18147
Selex ES,15907
神華集團,199714
Intelsat,1074
Oliver Typewriter Company,838
Cambridge Antibody Technology,294
セブン-イレブン,43064
Warner Music Group,3421
Id Software,195
Cing,28
Océ,21322
PSION,872
Wincor Nixdorf,9491
Riot Games,1018
CBS Films,18
WH Group,61650
Gyldendal,458
Ace Hardware,87897
Uber (entreprise),6709
TeliaSonera,27294
Imperial Chemical Industries,29223
Indra (azienda),35611
Pegasus Airlines,3637
Mitsubishi Research Institute DCS,1710
Opel,35510
Mashable,124
Fibria,15651
ロビンソン・ヘリコプター,1314
FactSet,7688
Satuit Technologies,48
Кредит Европа банк,4478
Cirkle,25
Look (company),472
فياكوم,10926
MSC Crociere,16289
Brightstar Corporation,8861
Cortefiel,11078
Companhia Paulista de Força e Luz,7568
OpenX (company),521
Eaton Vance,977
ESET,1021
Cyrela Brazil Realty,8244
American Airlines,111585
ストアブランド (ノルウェーの企業),2111
