http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
珀澤申群島,0
Ometepe,28440
El Hierro,9834
Woodlark,1698
جزيرة مايناو,184
Mili (Islas Marshall),1033
جزيرة ألكسندر,0
Hayling Island,16964
Pašman (île),2824
Vanna (Troms),941
Anholt (Insel),149
Ruhnu,95
Abemama,3266
Príncipe,5095
Isla de Astove,2
Bøving Island,0
Distretto delle Nicobare,36269
مون (الدنمارك),9914
Sal (Cap-Vert),34352
Kvitøya,0
Écréhous,0
Bonaire,16756
Хоккайдо,5160658
Осмуссаар,4
Маупихаа,10
Baltrum,482
Ilhéu das Rolas,195
Märket,0
Île Chuginadak,0
Isla Vasilievski,201821
Saipan,48748
Ash Point,0
聖靈群島,1643
叙尔特岛,20351
Канарские острова,2050914
Vis (île),3503
Nepean Island,0
Géographie de Nauru,9728
Dionysades,0
Atoll Farquhar,21
Inishbofin (Galway),160
جزيرة أديلايد,96
Sorgu,0
Isola Baranof,8217
Pakin,88
Сицилия,5114063
Kiawah Island,1571
瓦恩島,1003
Лифу,10596
سيروس,21696
Märket,0
ثاسوس,14031
Ryūkyū,1565882
Сен-Франсуа (атолл),0
Île Platte,3
Isla Grande de Chiloé,148317
فانجر أوخه,975
バヌアレブ島,131333
馬卡泰阿島,66
Niulakita,28
Arquipélago Ártico Canadiano,14659
尼亞斯島,752723
Omey Island,1
Artemis (island),0
博罗伊岛,5113
Antwerpeneiland,49
Kure Atoll,0
Éfaté,65075
Île de la Gonâve,79887
テルセイラ島,55893
Lazaretta,0
パグ島,9382
Guadalupe (wyspa),208
聖約瑟夫島,1853
Île de la Gonâve,80228
Kish Island,22866
Epi,5012
Flinders Island,702
Susak,155
雷岛,17977
Ostriw Zmijinyj,102
Элафониси,0
Izenajima,1696
Wiencke-Insel,0
Исабела (остров),1773
Reao,385
Inis Oírr,249
春牟古丹島,0
Ilha de Marajó,239212
Políegos,0
Nieuw-Ierland,124049
São Nicolau (Kaapverdië),12898
Ventotene,713
Сандвип,348249
Tuần Châu,1485
Aukena,40
Isole Cíes,3
Keppeleiland,0
阿納環礁,487
伊尼什特克島,57
Vanua Levu,141056
Thurø,3495
Sark,573
Insel Hiddensee,1096
Mangole,36721
Coëtivy,256
リトルダイオミード島,112
Ilha Keppel,0
Čiovo,5845
Йонагуни (остров),1733
Motiti Island,28
安蒂波德斯群岛,0
Isla Clarence (Antártida),0
Terra do Fogo,133022
Autonome Region Madeira,282074
Sporades,13888
Buton,452751
La Palma,85330
Norderney,5898
Hisingen,126751
Marathos Island,5
Sejerø,419
Viðoy,635
Roque del Este,0
Pašman,2806
Socotra,42155
Coron (île),2562
Jost Van Dyke,285
Socotra,43432
Vega Island,0
Aunu'u,435
Mykonos,9672
Jolo,447456
جزيرة أراباوا,52
Asuncion Island,0
Howe Island,574
Whiddy Island,21
Minamidaitō-jima,2153
Dek Island,4750
志林規島,0
Charimkotan,0
Gawdopula,3
Мацзу (острова),13089
Jejudo,587834
كياوا أيلاند (كارولاينا الجنوبية),1616
Kavaratti,11305
Nias,815230
Samos,34549
Bora Bora,9282
Farquhar,21
スポラデス,13390
Motu One (Isole Marchesi),0
Askøy (island),24169
Либ,111
Diego Garcia,4066
Aucklandinseln,0
ブバケ,9296
Sofía (Echinades),0
Каф-оф-Мэн,2
Île Saint-Laurent,1353
Rowett (eiland),0
Denison Island,0
Terihi,0
Célebes,18069648
Maiana,2075
兰萨罗特岛,140099
越渇磨島,0
吉廖島,1481
Cerdeña,1705819
Rakahanga,122
费尔南多·迪诺罗尼亚群岛,2596
Strait Island,38
Île de Molène (Finistère),215
Capraia Isola,417
Раб (остров),9397
Hopen,4
詹努特里島,28
Аммассалик (остров),1941
Moala,3106
Idjiwi,257515
Thirasia,261
Paximadia,0
Wyspy Nawietrzne,464616
Сиберут,36147
Hokkaido,5511238
Keppel Island (Falklandinseln),0
Gavdopoula,3
South Andaman Island,220035
Paama,1668
Southern Moreton Bay Islands (Redland City),4181
Chichi-jima,2093
阿納托姆島,923
Donsö,1460
Wyspy Magdaleny,12328
Île du Sud-Est,0
Лесбос,89926
Бадия (остров),0
Лоу (остров),0
Shikoku (eiland),4323469
Takaroa,854
Flores (Indonésia),1850733
加利尼亞斯島,1540
Valchedram Island,0
Ilha Baccalieu,0
Utirik,423
Solentiname,1047
Rangiroa,2661
Barren Island,0
Bali (wyspa),4200250
Australeilanden,6651
Woodlark,1635
Socorro Island,46
Хершел (остров),0
Ambelau,9965
Île Clarence (Chili),5
Long Island (Bahamas),2972
Mili Atoll,1032
Bougainville (isola),166844
Great Barrier,948
奥莱龙岛,22093
默恩島,9183
Therese Island,0
アンブリム島,7480
Ilhas Chelbacheb,6
Danajon Islet,10310
布阿里基島,1055
Haida Gwaii,4823
Тутуила,53125
烏卡拉島,15421
São Nicolau,12572
Islas Amami,115382
Abaiang,5499
塞爾夫島 (毛里裘斯),0
アンホルト島,144
Selvagem Grande,2
Källö-Knippla,371
Île Socorro,43
Manitoulin,13039
Kihnu (wyspa),468
伊斯帕尼奥拉岛,21699240
Galinhas (Guiné-Bissau),1556
Fernando de Noronha,2702
Takaroa,856
Ilha Winter,0
Darnley Island,414
Klein-Cornwallis,0
小迪门岛,0
Capraia Isola,388
Grande Caimão,52360
火地群岛,141704
卡巴拉島,695
ボルネオ島,20762522
Taimyr-Insel,0
Niihau,132
Isla Attu,0
Hrísey,173
コスメル,103842
Lummi Island,815
Bequia,4359
Abd al Kuri,461
エマエ島,723
Nukulaelae,313
Olchon,1508
Attu Island,0
Nekselø,20
Île des Sœurs,17840
Île d'Yeu,5092
バス・テール島,178477
Rømø,620
جزيرة بورو,158168
フォルメンテラ島,10327
Porto Santo,5635
Isola di Dursey,3
Inis Meáin,155
MacCarthy Island,3882
Линдисфарн,182
Baltrum,505
كاواي,67946
Broughton Island (Neuseeland),0
Lindisfarne (Insel),171
弗雷德里克岩,0
希辛延島,136113
Herschel Island,0
Северный Бородино,688
Île Cortes,1016
Île d'Yeu,4853
Capraia,396
莫索島,243
Bangka Island,958974
Isla Dominicos,21
درة البحرين,970
Ilhéu Grande,0
Isla de Lobos,0
Elba,33725
Muna (isola),255350
Amerikiwhati Island,0
普卡魯阿環礁,219
Felicite Island,20
メジット島,294
Tatakoto,290
Maupihaa,10
Gozo,38742
Chrysi,0
Lovund,402
Парама,447
Vranjina,221
Parama Island,431
Sumatra,51287262
"São Vicente, Cape Verde",81949
Amager,171971
Tatakoto,274
Сатавал,507
Кальсой,141
Ilha de São Lourenço,1288
Acaill,2604
Gozo,38852
Калимантан,19533234
Isla Ayon,461
Märket,0
Isla Swains,17
Лампионе,0
شيكوكو,4298563
Tarawa,53871
Zug Island,0
Île à Vache,14587
Heiberg Islands,0
Аунуу,446
Saaremaa,29512
Sorgu,0
南部珊瑚群島,264
Ljusterö,1629
Asinara,1
Wyspy Antypodów,0
Ambelau (île),9637
Pantelleria,7351
Niulakita,28
ディスコ島,1057
Ljusterö,1575
Sazan,0
Maupihaa,10
Isla Victoria (Rusia),0
Öland,25502
Jost Van Dyke,304
Drejø,73
Ilhéu Rabo de Junco,0
Filfla (île),0
Manuae (Isole della Società),0
Madouri,0
Sint Maarten (wyspa),76189
Barren Island (Andamanen),0
Таймыр (остров),0
ウジャエ環礁,452
Saint-Pierre (atol),0
Mili,984
Geografía de Puerto Rico,3972953
Long Island (Western Australia),0
トスカーナ群島,34613
Isole Daitō,2167
Sark,579
تينوس,8744
スンバワ島,1454880
Délos,14
Lütje Hörn,0
Пентекост,16084
Ambrym,7461
Poel,2810
スマトラ島,48093713
Ellesmere Island,149
Drvenik veliki,143
Tōshi-jima,3072
Svínoy,54
Oléron,22142
Vava'u,15666
Geografía de Mauricio,1236101
La Graciosa,701
Baltrum,495
Reao (Atoll),385
Makatea,66
Isabela Island (Galápagos),1809
上島,1790
Sable Island,5
Tresco,182
Norderney,5911
Narcondam,16
Durrat Al Bahrain,1047
Yonaguni,1749
Keppel Island,0
Ljusterö,1631
Masira,12472
Maliku,10378
Isola Cornwallis (Nunavut),222
Lampedusa,6275
Isla María,2
Сан-Николау (Кабо-Верде),12422
Mercury (wyspa),2
キフヌ島,486
Isla Saona,287
Wallis (island),10712
Bougainville (Papúa Nueva Guinea),181544
Isla Molokini,0
Cornwallis (Canada),219
براسلين,7263
Саут-Маниту,1
Ахе,554
Tarout Island,76234
Hasslö,1583
Geography of Saint Lucia,162109
Kosrae,6498
Lindhard Ø,0
Siberut,34509
Godøy,1158
Haʻapai,6533
希乌马岛,8638
Île d'Achill,2571
Costa de la Columbia Británica,4651
斯特羅恩吉利島,0
Fergusson,13050
Askø,54
Isla Anchor,0
Buru (Indonesia),157831
Thorland,0
Île de Frégate,208
Мили,1060
克佩爾島,0
Geography of Svalbard,2665
Bornholm,38536
Pantelleria,7542
坪洲,4879
ジャルート環礁,1734
Ouessant,853
Sanana,46644
Heimaey,4665
South Bishop,0
Île Banks,140
Ilha de Lobos,0
Cooper-Insel (Südgeorgien),0
Taquile Island,1732
Mataiva,280
Astove,2
Кинг-Джордж (остров),508
Alegranza,0
Feøy,48
Isola di Tokunoshima,27087
Peng Chau,4798
Chalky Island,0
シロス島,22423
中安達曼島,55539
Marquesas Keys,0
Manuae (Îles de la Société),0
Wielki Nikobar,7689
Lütje Hörn,0
Наветренные острова,463673
Île Prince-de-Galles (Queensland),19
Anuta,289
Havelock Island,6038
Barbuda,1692
Nólsoy,240
Idse,171
Sipora,17046
Trinity-Insel,0
Isola d'Anticosti,230
Wotho,165
格什姆岛,116059
Makanruši,0
Namorik,831
Эрикуб,0
普拉特島 (塞舌爾),3
Isola Tajmyr,0
プリンシペ島,5046
查塔姆群岛,603
布塔里塔里環礁,4184
Viðoy,622
Брач,13653
琉球群岛,1560629
Pašman,2758
Ornö,300
Jéthou,3
Dōgo-jima,14406
Ясава (остров),1135
Iberian Peninsula,54159249
Îles du Maïs,7432
موريا,16506
Santo Antão (Kap Verde),42802
Saint-Christophe (île),48160
Sardinien,1679511
Timor,3133825
ハルマヘラ島,463501
Fakarava,782
Minicoy,10256
端島 (長崎県),0
Eubeia,192949
Guesalaga Peninsula,0
卡梅倫島,0
Geography of Montserrat,4622
Серф (остров),105
神津島,1871
Géographie de La Réunion,792512
Lesbos,89760
Schiza,0
Jan Mayen,0
Tåsinge,6473
Каргадос-Карахос,64
Ян-Майен,0
Isla Saturna,360
Île Mackinac,512
Pemba (Tanzânia),417813
Winter Island (Nunavut),0
Île Dawson,401
博奈尔,16684
施皮克罗格,817
Walney (île),10779
Secretary Island,0
Grímsey,89
Тортю,27030
莫阿拉島,3097
ブリテン諸島,69642597
Nancowry (île),1027
梅吉特島,292
Grand Turk Island,3566
Samosir,94991
パナイ島,4427663
Solentiname Islands,952
لا ديغو,2742
Frégate,204
Akamaru,23
Olib,144
Île-d'Arz,227
Île Yagishiri,272
Rarotonga,11036
Géographie de Jersey,103745
Chichi-jima,2092
Niutao,602
Мадура,3569543
Makin,1799
Megalonisi (Crète),0
Île du Cap-Breton,140570
Île Mocha,824
Roque del Oeste,0
جزيرة المحرق,207742
瓜达尔卡纳尔岛,104792
Аламаган,0
Pašman,2729
穆拉武卡德,23144
Butaritari,4456
Thérèse Island,0
Saltholm,5
バレアレス諸島,1126852
Skokholm,2
Islas Baleares,1113513
Dokos,18
Andamanen,347606
Île Unimak,66
Heibergeilanden,0
Amager,179367
Elafonissos (Kreta),0
Isla Araki,136
Aukena,40
Rockall,0
Graciosa (Wyspy Kanaryjskie),648
亞歷山大塞爾扣克島,59
Arrecife Kingman,0
Lošinj,9802
Guadalcanal,113607
Klädesholmen,398
Île des Sœurs,18304
羅密歐島,0
Havelock Island,6053
ウィンドワード諸島 (ソシエテ諸島),195136
Korčula (eiland),15839
エロマンガ島,1939
Archipiélago Toscano,34221
Isola di Noirmoutier,9497
Narcondam,16
Puffin Island,0
جزر البليار,1060635
Korallenmeerinseln,4
Smith Island (Szetlandy Południowe),0
Фаркуар,21
喜界島,7977
Islas Chatham,596
Flinderseiland,732
曼塞爾島,0
Manitoulin,12404
Insel Poel,2770
Lae (Marshall),326
Raiatea,12462
Tiengemeten,10
Kharimkotan,0
式根島,622
Woleai,1055
Menorca,92985
Futuna (Vanuatu),516
Tierra de Peary,0
Alphonse-Atoll,84
Kauaʻi,67544
Čiovo,5983
Andaman Meridionale,205958
Kolbeinsey,0
Husøya,413
موالا,2898
Drvenik Mali,87
Ilhas do Canal,164238
"City Island, Bronx",4243
魯賓遜克魯索島,823
Ilhéu dos Pássaros,0
Hvar,11386
Île de Noirmoutier,9249
坎加鲁岛,4361
リーワード諸島 (ソシエテ諸島),33822
Матуа,0
Silda (Vågsøy),37
Bougainville Island,167838
Asinara,1
Naxos,18142
林迪斯法恩,173
Inishbofin,153
Fatu Hiva,564
Ilhéu Caroço,0
Isola Herring (Windmill),0
伊麗薩岩,0
Tybee Island,3102
Marajó,243681
Isla de Flores (Indonesia),1777288
Borrello Island,0
Vrgada,237
Drejø,72
Raivavae,979
キング島,1775
Península de Kamchatka,322316
Bornholm (eiland),38268
Andimilos,0
敏莪里島,34628
Karabane,387
Ilhéu de Cima (Kap Verde),0
霍西森島,19
Рангироа,2507
Morter,5360
غودش,36640
Socotra,44056
Sable-eiland,5
Kotakara-jima,49
Aldabra,12
奧德伯特島,0
Sainte-Anne (Seychellen),38
Porto Santo,5712
阿森松岛,866
Ilha de la Gonâve,75445
Inamba-jima,0
Rennell,1563
Dangerous Reef,0
布里克島,2
Sandy Island (Nowa Kaledonia),0
Tiengemeten,10
阿基爾貝格島,0
Тринити (остров),0
Isla de Elba,33486
