http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Unión Deportiva Lanzarote,6000
Эпиналь (футбольный клуб),8000
SC Fürstenfeldbruck,5000
Unión Atlético Maracaibo,45000
CD Numancia B,1000
Gabala FK,2000
Futbol'nyj Klub Stal' Kamians'ke,2900
Playas de Castellón FS,6000
Union Sportive Boulogne Côte d'Opale,15004
ASC Police,10000
Fussballclub Naters,3000
Каламата (футбольный клуб),4000
Баскония (футбольный клуб),8500
НАК Бреда,19000
FC Naftan Navapolatsk,5300
Borgosesia Calcio,2500
Titanes de Tulancingo,2500
Club Deportivo Universidad de Concepción,30448
Harimau Muda A,25000
サンティアゴ・モーニング,5000
ES FC Malley,3500
SV Spittal,6500
Futbol'nyj Klub Rostov,15840
Sriwijaya FC,23418
1. Fußball Club Gera 03 e.V.,15957
HNK Gorica,8000
Krabi FC,6000
Formartine United F.C.,1800
AS Cherbourg,7000
Sorrento FC,5000
F.C. New York,5000
SV Grödig,4128
Extremadura UD,11580
CA River Plate (Montevideo),6000
FK Rostów,15840
贝林佐纳足球俱乐部,5000
卡瓦拉竞技俱乐部,10500
Tur Turek,2
アレマ・インドネシアFC,42449
Interblock Ljubljana,500
PFC Chernomorets Burgas,2000
墨尔本胜利足球俱乐部,53359
Maghreb Fez,45000
United Petrotrin,10000
Al-Shamali AC,15000
安祖荷姆斯足球會,4000
Nadi F.C.,18000
FK Rostov,15840
San Diego Sockers (2009–),12920
Club Irapuato,28500
SC Düdingen,3000
Finance and Revenue FC,40000
Al-Qowa Al-Jawiya,10000
FSV Zwickau,10000
Al-Sadd Sports Club,12946
De Treffers,4700
UC Ceares,1500
Kickers Emden,7200
Chiangrai United F.C.,15000
Ciudad de Lorca CF,2000
CD Idoya,1000
Turbine Halle,1000
NSTG Asch,3000
FK Kuban Krasnodar,31654
FK Dainava Alytus,3790
Club Sportivo Italiano,8000
Myny-Futbol'nyj Klub Lokomotyv Charkiv,1500
Nõmme Kalju FC U21,330
K. Londerzeel S.K.,2500
NAC Breda,19000
CSD Independiente del Valle,8000
ヒバーニアンズFC,4000
نادي دلكورد,6500
Audax Italiano,12000
Portonovo SD,5000
Fotbalový Klub Dukla Praha,8150
Grasshopper Club Zürich (femminile),1300
Macaé Esporte Futebol Clube,20
カーシャルトン・アスレティックFC,5000
Persib Maung Bandung,38000
Pécsi Mecsek FC,7000
Sociedade Desportiva Juazeirense,8000
Ubon United F.C.,5000
Pahang Football Club,40000
Grønlands Seminarius Sportklub,2000
Club Atlético Rentistas,10360
A.C.D. Nardò,5000
CA Boca Unidos,12500
GPS Portland Phoenix,5200
ŽNK Pomurje,1441
CP Villarrobledo,6000
Borussia Verein für Bewegungspiele Neunkirchen,23000
Tak Chun Ka I,1700
CS Unirea Sânnicolau Mare,80
Southern Oregon Fuego,1700
TSVハルトベルク,4500
نادي فيتيبسك,8100
León Huánuco,20000
Bucheon FMC Best WFC,35545
Barenburger Sportverein Kickers Emden e.V.,7200
Impuls Sports Club Erebuni Dilidjan,1280
Club Deportivo Eldense,4036
Atlanta Beat,8300
Tschernomorez Pomorie,2000
Sporting Clube da Praia,8000
Granada CF,23934
NK Rudar Velenje,2341
Sriwijaya FC,23418
Montego Bay United F.C.,7000
Unión Deportiva Santa Marta,1500
FC Callatis Mangalia,5000
Ventforet Kōfu,17000
Académico do Aeroporto,8000
NK Interblock,500
阿拉伯承包商SC,35000
Mika Erywań,7250
法拿莫達利體育會,8500
Kano Pillars FC,25000
FC Hradec Králové,7220
Atlético Desportivo Moma,10
Olympique Saint-Quentin,10000
SpVgg 07 Ludwigsburg,18000
KMKM FC,5000
Saint George Sports Club,35000
JK Vaprus Pärnu,1501
JEF United Ichihara Chiba,19781
Каталле Тояма,28494
Yadanarbon Football Club,17000
IF Älgarna,2500
Yokohama Flügels,15046
Sportverein Spittal an der Drau,6500
Diósgyőri VTK,11500
泰羅芬斯體育會,5076
奧利維倫斯體育會,4000
Kano Pillars F.C.,25000
Nauti F.C.,1500
Sporting Plaza de Argel,300
Futbolniy Klub Ural,10000
"Олимпиакос (футбольный клуб, Волос)",9000
Pego CF,1000
FC Bern,14000
Vannes OC,9500
نادي ييدزين,25000
UCAM Murcia Club de Fútbol,6500
FK Ameri,1000
CD Miajadas,2700
AC Maceratese,5846
Real Club Celta de Vigo,29000
Boca Unidos,12500
Shabab Al-Dhahiriya SC,24000
FCジンブル・キシナウ,10400
Club Atlético River Plate (Puerto Rico),12500
A.T.A. (Greenland),2000
SSラツィオ,70634
Club Malvín,900
Brusque Futebol Clube,5000
Asociación Deportiva Limonense,3000
Tours Football Club,16247
Olympic Azzaweya SC,8000
CS Avion,4800
Grønlands Seminarius Sportklub,2000
Pretoria University Football Club,12000
Club Deportivo Unión Juventud,25000
Víkingur Gøta,2000
Fútbol Club Andorra,2000
Football Club de Sète 34,8000
Club Deportiu Masnou,2000
AD Dili Oeste,5000
NK Iskra Bugojno,12000
Olympique de Khouribga,10000
亚布洛内茨足球俱乐部,6108
Desportivo Manica,10000
Dunakanyar Vác FC,12000
Pol. Arzachena,3100
Sepahan Novin F.C.,5000
Fotbal Club Vaslui,9240
Millwall Lionesses L.F.C.,20146
Idrottsklubben Sirius,6300
FK Polimlje Murino,100
FC Cortaillod,600
Sociedad Deportiva Atlético La Albericia,1000
Persipura Jayapura,30000
Víkingur Gøta,2000
Unión Sporting Club (Lavadores),3000
FK Makedonija GP Skopje,3000
FC Orenburg,7500
Village United FC,3000
Ayacucho FC,17000
Makói FC,2500
C.D. Plaza Amador,6000
ENPPI Club,16000
NK Rudar 47,500
Hakoah Amidar Ramat Gan,8000
