http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/populationTotal
Люксембург,576249
Gwatemala,15806675
Danemark,5707251
Moldavie,2913281
Paraguay,6783272
Equatoriaal-Guinea,1222442
Kazakhstan,17693500
Uruguay,3427000
Portugal,10341330
Jamaïque,2950210
グリーンランド,56483
Liberia,4503000
Luxembourg,576249
Libia,6411776
Sudan,40235000
Tanzania,51820000
Indonesia,255461700
Tunisie,10982754
Belize (land),368310
Libéria,4503000
Guatemala,15806675
Saint Kitts en Nevis,54961
Polen,38483957
Perù,31151643
Cyprus,1141166
Malta,445426
Guinea,8746128
トーゴ,7552318
Bolivia,11410651
Síria,17064854
Dominica,72660
Sudão do Sul,12340000
Egito,85783
Senegal,13567338
Yemen,25408000
キラ (ウガンダ),313761
巴拉圭,6783272
سوريا,17064854
Fiji,909389
Mähren,3100000
トリニダード・トバゴ,1349667
Oekraïne,42539010
Chile,18006407
Syria,17064854
Tagikistan,8610000
Yemen,25408000
Антигуа и Барбуда,91295
North Korea,24895000
阿魯巴,103400
Fiji,909389
Zambie,16212000
Belarus,9498700
Zentralafrikanische Republik,4709000
Bahamas,392718
Irak,37056169
Kap Verde,525000
Burkina Faso,17322796
Демократическая Республика Конго,81680000
Togo,7552318
カーボベルデ,525000
Jamaica,2950210
Kyrgyzstan,6000000
Líbia,6411776
Afghanistan,32564342
ベトナム,91700000
Ливия,6411776
コンゴ民主共和国,81680000
Bahama's,392718
Sudan Południowy,12340000
أروبا,103400
パラグアイ,6783272
Egypte (land),85783
Niue,1190
Индия,1293057000
Slovaquie,5426252
Repubblica Democratica del Congo,81680000
Vietnam,91700000
莱索托,2067000
Tunisia,10982754
تنزانيا,51820000
Republik Kongo,4662446
Panama,3929141
Burkina Faso,17322796
Сомали,12316895
فيتنام,91700000
Yémen,25408000
Laos,6803699
Maldives,393253
Egipto,85783
Groenlandia,56483
Laos,6803699
Liberia,4503000
カザフスタン,17693500
Катар,2383705
Kirguistán,6000000
Nicoya (ciudad),24946
Ukraine,42539010
Moldavia,2913281
Somalië,12316895
Лесото,2067000
لوكسمبورغ,576249
Mozambique,24692144
Guiné-Bissau,1693398
利比亚,6411776
Soudan du Sud,12340000
Gronelândia,56483
Malta,445426
Corea del Norte,24895000
Oman,4441448
Bahamas,392718
Мавритания,4067564
Кот-д’Ивуар,23919000
Замбия,16212000
Канада,36286425
مدغشقر,22434363
Grenade (pays),109590
Szwajcaria,8341000
غينيا,8746128
Portogallo,10341330
Того,7552318
Панама,3929141
Bhutan,742737
Bahrain,1378000
Burundi,11178921
كندا,36286425
Bolivia,11410651
バハマ,392718
سانت كيتس ونيفيس,54961
Сент-Китс и Невис,54961
Djibouti,828324
Ucraina,42539010
فيجي,909389
ケニア,45010056
Burundi,11178921
Чили,18006407
Madagascar,22434363
Guinee-Bissau,1693398
الدنمارك,5707251
Suecia,9920881
Islas Salomón,523000
Malediven,393253
キプロス,1141166
马达加斯加,22434363
Moçambique,24692144
Pakistan,201995540
Мозамбик,24692144
Weißrussland,9498700
ベナン,10879829
Кения,45010056
Dschibuti,828324
Djibouti (land),828324
赤道几内亚,1222442
Benin,10879829
Cambodge,15458332
Malawi,16407000
Liberia,4503000
Denemarken,5707251
Białoruś,9498700
Central African Republic,4709000
السودان,40235000
Oman,4441448
سلوفاكيا,5426252
Trinidad und Tobago,1349667
Niue,1190
Guinea-Bissau,1693398
Costa d'Avorio,23919000
Malta (land),445426
Вьетнам,91700000
Burundi,11178921
الأوروغواي,3427000
オマーン,4441448
チェコ,10553443
Таджикистан,8610000
Äquatorialguinea,1222442
格鲁吉亚,3720400
Aruba,103400
千里達及托巴哥,1349667
Grèce,10955000
