http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
The Green School,900
Africa University,1200
Walter Sisulu-universiteit,21946
Annandale High School,2162
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,2000
Central Maine Community College,2700
West Greene School District,799
清泉インターナショナルスクール,725
Litherland High School,839
Shanghai University of International Business and Economics,10000
Universiteit van Malta,11342
"SMK St. Francis Convent (M), Kota Kinabalu",850
Saugus High School (California),2529
Université de Karachi,95000
IE ビジネススクール,1900
Alpena High School (Arkansas),248
College Zarządzania - Studia Akademickie,12000
École des Hautes Études en Sciences Sociales,3000
Universidad de St. Francis,3352
Azerbaijan Medical University,8000
川北医学院,10396
Augustana-Hochschule Neuendettelsau,212
旁遮普大学,45000
جامعة دركسل,26359
Sint-Maartenscollege (Maastricht),1500
Cambria Heights School District,1440
Skaneateles High School,521
Harvard Business School,2009
Cardinal Newman Catholic School and Community College,1293
Georgia Institute of Technology,25017
Präfekturuniversität Hyōgo,6158
Kings Manor Community College,1337
"University of Applied Sciences, Mainz",4805
Narodowy Uniwersytet Uzbekistanu,10000
High School of Fashion Industries,1743
EM Lyon,3300
"Mount Vernon High School (Fortville, Indiana)",1135
University of Malta,11342
Walnut High School,2669
Université Petre Andrei,2530
North Miami High School,2760
Union High School (Oregon),236
Mitchell County High School,506
Universidad Estatal de Arizona,50246
克兰纳特管理学院,3327
College of DuPage,29000
Northeast Metropolitan Regional Vocational High School,1250
Universiteit van Lund,41000
Escuela Preparatoria Sterling (Houston),1133
المدرسة الأمريكية الدولية في أبو ظبي,1350
Abbots Bromley School,165
Uniwersytet Komeńskiego w Bratysławie,26624
South Essex College,11100
Ohio State University,58322
Universidad Purdue,39409
Fort Collins High School,1621
Université d'Évry-Val-d'Essonne,10500
カウナス工科大学,10495
Universidad Federal de Santa María,26851
Blackhawk School District,2528
University Centre in Svalbard,497
Czech Technical University in Prague,23185
Windesheim (onderwijsinstelling),20740
Le Cordon Bleu,20000
Бернский университет,17430
Gadsden City High School,1337
Cabrini High School (Michigan),432
Universidad de Lyon I - Claude Bernard,35000
Waipahu High School,2450
Towers Convent School,330
Tuen Mun Government Secondary School,1250
Шаттак Сент-Мари,472
Xavier School,4000
Universidad de Bulacán,30000
Libera Università Maria Ss. Assunta,8
"Lawrence School (Sagamore Hills, Ohio)",300
Buckeye Local School District (Jefferson County),2174
Instituto Real de Tecnologia,14500
Universität Teramo,10000
Tawrijski Uniwersytet Narodowy im. Władimira Wiernadskiego,17000
Charlotte Latin School,1400
Mar Athanasius Memorial Higher Secondary School,1500
Stockton Collegiate International Schools,880
Barr-Reeve Junior-Senior High School,313
Palatine High School,2764
Jay County High School,1113
安徽医科大学,18700
Portland Christian Junior/Senior High School,373
St. Francis' College,3000
Burris Laboratory School,650
Université de Niš,27000
Cushing Academy,400
Conservatorio de Maastricht,600
Universidad de las Ryūkyūs,8098
German European School Singapore,1500
Canon-McMillan School District,5168
Boyd-Buchanan School,850
龍谷大學,20200
"Unity High School (Tolono, Illinois)",467
Homer-Center School District,964
Pine Technical College,1200
Pu-Men High School,1000
جامعة جبل سانت فنسنت,4220
Technische Universität Bergakademie Freiberg,4927
Briarcliff High School,587
Bolivarian University of Venezuela,180000
Northwestern School District,1637
Slovak University of Technology in Bratislava,18375
Gulf Islands Secondary School,636
Llantarnam School,1400
Arcadia High School (Wisconsin),347
Academia de Bellas Artes Nanyang,2400
جامعة تاراس شفتشينكو الوطنية في كييف,20000
St. John's School (Texas),1325
湖南中医薬大学,3
Universität Fukushima,4493
"Heritage High School (Brentwood, California)",2583
Alleyn's School,1218
Clements High School,2645
De La Salle Collegiate High School,800
Università americana in Afghanistan,1151
Sistema de Ensino Superior do Estado da Pensilvânia,111000
Assisi Vidyaniketan,2000
マッコーリー大学,39335
East Lycoming School District,1631
Clover Hill High School,1896
University of Maine School of Law,254
Erasmus-Universität Rotterdam,26212
Lamar State College–Port Arthur,1802
Universidad Autónoma de Occidente,8000
Fred T. Foard High School,1100
Université française en Arménie,2000
Université du Svalbard,497
Shandong University of Science and Technology,46
Freie Waldorfschule Wetterau,500
Coppenhall High School,821
Perry Hall High School,2121
South Bromsgrove High School,1300
Liaocheng University,29
Weifang Medical University,12789
Mill Creek High School,3979
Universidad Católica de Santo Domingo,5000
Hollis/Brookline High School,987
Francisco P. Felix Memorial National High School,14087
Broward College,67000
St. Andrew's Preparatory School,210
Universiteit van Macerata,11213
Thomas Goode Jones School of Law,304
Heppner Junior/Senior High School,195
"Pius X High School (Downey, California)",1000
バイーア連邦大学,27549
Portland Waldorf School,363
George Enescu University of Arts of Iași,1276
Universidade de Bremen,20000
University of the West Indies,36000
Challney High School for Boys,837
Heritage Hall School,910
جامعة كايزرسلاوترن للتكنولوجيا,14
جامعة ماريا كوري-سكلودوفسكا,25192
Fleming College,6000
Université James Madison,20858
South Elgin High School,2850
Westmont Hilltop School District,1573
Bethel Park High School,1937
Kwalikum Secondary School,750
Montebello High School,3191
Frogmore Community College,612
Crandall University,685
جامعة لوند,41000
Camborne Science and International Academy,1267
West Greene School District,800
Belmont High School (New Hampshire),487
مدرسة ديليا كندا (هونغ كونغ),1200
Universidad de Luxemburgo,6287
Freeport High School (Maine),515
Hans Raj Model School,6400
Bakalia Government High School,1500
Dunkirk High School,616
Nora School,47
Oasis Academy John Williams,805
Scranton State School for the Deaf,74
卡斯商学院,4200
Hakuoh University,4907
Netherhall School,1078
Universität Évry,10500
萊比錫孟德爾頌音樂戲劇學院,813
Taras Shevchenko National University of Kyiv,20000
Edgemont Junior – Senior High School,922
ISCTE – Instituto Universitário de Lisboa,9000
Kantonsschule Küsnacht,510
King Philip Regional High School,1337
Rock Bridge High School,1906
Shri Kalyan Government College,8000
Bryant High School (Arkansas),2429
جامعة نيس صوفيا انتيبوليس,25049
Brantford Collegiate Institute,1286
The Holmesdale School,838
D. H. Conley High School,1734
الجامعة الأوروبية,3
Atlantic Cape Community College,6500
Rocky Mountain College,894
Junction City High School (Oregon),467
Université de Tunis - El Manar,45000
Heidelberg University (Ohio),1300
Wageningen University and Research Centre,10380
Ștefan cel Mare University of Suceava,10138
Edgewood High School of the Sacred Heart,545
Rajalakshmi Engineering College,5800
Universidad Pedagógica Nacional de Colombia,11092
DePaul University College of Law,130
Highline Big Picture,195
Deshler High School (Alabama),444
König-Abdulaziz-Universität,180212
CUNY Graduate School of Journalism,170
St Edward's School,422
Catholic University of Pusan,1200
Burscough Priory Science College,720
Fleming College,10000
Faith Bible High School,148
Universidad de tecnología de Papúa Nueva Guinea,3000
St. Augustine Preparatory School,689
James I. O'Neill High School,635
Laurel High School (Montana),664
"Columbia High School (West Columbia, Texas)",845
Dover High School (New Jersey),832
Rockledge High School,1200
Université de Rome « Campus bio-médical »,1629
Central State University,2116
Sylvia Young Theatre School,230
Beacon College,280
Alberta School for the Deaf,77
Штутгартский университет,24642
Université d'Afrique,1200
Universidade Rey Juan Carlos,37939
"Northwestern High School (Maple, Wisconsin)",428
Weston Favell Academy,1275
"Department of Business Management, University of Calcutta",33
Gilbert Junior-Senior High School,396
Université fédérale de Bahia,27549
Inner Mongolia University,23203
Busan Foreign School,113
Watson Technology Center,550
莱里达大学,9650
Pine Crest School,2662
Canandaigua Academy,1200
Georgia State University College of Law,461
Crow Middle/High School,193
南新罕布什爾大學,64000
Norman Paterson School of International Affairs,100
Berlin High School (Connecticut),976
Avila University,1971
Occidental College,2114
"Canyon High School (Anaheim, California)",2400
"Marymount High School, Jamaica",840
Hampton Park Secondary College,1208
Collège Montmorency,7390
Belmont Community School,725
Universität Pierre und Marie Curie,32000
Universidad Católica de la Santísima Concepción,5314
École des mines de Saint-Pétersbourg,16500
Dodge City High School,1650
Collège Jean de la Mennais,1450
Charleston Southern University,3598
Monroe High School (Oregon),141
University Hill Secondary School,800
Worksop College Preparatory School,215
جامعة إراسموس روتردام,26212
Island Trees High School,901
Кливлендский институт музыки,427
Oswego East High School,2300
Foothills School of Arts and Sciences,157
Granada Hills Charter High School,4200
Broward Virtual Education High,400
奥斯纳布吕克大学,11034
John Swett High School,544
Sacred Heart of Mary Girls' School,800
La Salle Academy (Iligan),2841
"Staatliche Universität für Informationstechnologien, Mechanik und Optik Sankt Petersburg",12000
Tring Park School for the Performing Arts,315
Culver High School,212
Uniwersytet w Maceracie,11213
