http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/capacity
ČD Class 810,55
ICE 1,66
CFL Class 2200,339
ICE 1,743
ICE-1列車,24
ICE 1,24
ICE-1列車,53
RATP-Baureihe MS 61,292
TCDD HT65000,419
ICE 1,48
CAF Hizlitren,419
Treno Servizio Regionale,96
Locomotiva DB 401,743
RATP MS 61,92
ICE 1,24
SJ Y6,36
SL X1,196
ATM Class 4600 and 4700,139
Tram ATM serie 4900,60
ICE 1,71
SJ X16,55
ICE 1,35
Locomotiva DB 401,16
CFL 2300,29
ACMU,130
ICE 1,24
ICE 1,45
Рельсовый автобус серии 810,40
M1/M3 (railcar),120
ICE 1,24
Baureihe 401,48
ICE 1,16
CSR EMU (Argentina),72
