http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Puch bei Weiz,2308
Liebenau (Alta Áustria),1865
Saint-Luc (Valais),2066
"Iskra, Kuyavian-Pomeranian Voivodeship",117
Wilkowo Nowowiejskie,174
"Municipio de Pleasant Valley (condado de Fayette, Iowa)",1068
Dompierre-sur-Nièvre,139
Río Segundo (cidade),23542
Coin-lès-Cuvry,749
Torrente de Cinca,1020
Němčice nad Hanou,2084
"Zano, Bam",886
Langeneß,129
Saint-Sauveur (Finistère),783
贝恩多夫 (莱茵兰-普法尔茨州),497
Le Plessis-Hébert,381
Perreux (Loire),2157
Крепи (Эна),2117
"Tila, Chiapas",71344
Mée,189
Kirchdorf an der Krems,3921
Sankt Martin am Wöllmißberg,807
Ahillones,1067
Taufkirchen an der Trattnach,1844
Dommartin-le-Saint-Père,245
"Waltham Township, LaSalle County, Illinois",482
Le Plessis-Pâté,3619
Nandgaon (Uttar Pradesh),10602
Soisy-sur-École,1420
Neuenkirchen (Landhagen),2303
Tales,908
Montagny-près-Louhans,433
Bevern (Holstein),601
Boissy-lès-Perche,499
"Siget, Novi Kneževac",269
Ист (остров),181
"Brzeziny, Biłgoraj County",153
Aappilattoq (Qaasuitsup),179
Trou-Bonbon,6470
Padma (Hazaribagh),45635
Vigneux-de-Bretagne,4886
伦塔,867
Saint-Sauveur (Gironde),1326
Morašice (district de Znojmo),265
Gournay-en-Bray,6591
Tusk-e Sofla,642
Suri (Birbhum),73548
Gmund am Tegernsee,6662
Сен-Сатюрнен-де-Лен,353
Königsfeld im Schwarzwald,6562
Mahou (Mali),16764
"Pleasant Valley Township, Dodge County, Nebraska",204
Lolme,128
Marsac (Creuse),721
Úmbria,900427
"Bryn Mawr, California",189
"Municipio de Cedar (condado de Nance, Nebraska)",109
"Mesta, Bulgaria",256
Biskupice (Pobiedziska),1153
Strombeek-Bever,10822
"La Forge, Vosges",520
Gans,202
Barzan,407
Ahigal de Villarino,41
"Municipio de Braceville (condado de Grundy, Illinois)",6515
"Carnet, Manche",465
Pommiers (Loira),373
Luzino,6960
Marey-lès-Fussey,63
El Alia,26328
"Offham, Kent",716
La Celle (Allier),422
"Municipio de Genoa (condado de Nance, Nebraska)",248
Montagny-près-Louhans,474
"Bartow, West Virginia",106
"Akbarabad, East Azerbaijan",93
Fara Novarese,1977
Ar-Rastan,34574
Gans,205
Boissy-Mauvoisin,681
Curon Venosta,2684
زعفران عليا (مقاطعة إسلام آباد غرب),586
吉梅莱卡斯卡代,662
"Grasshopper Township, Atchison County, Kansas",595
Saint-Saturnin (Charente),1307
Němčice (Prachatice District),174
忠県,785788
Saint-Sauveur-de-Meilhan,237
Lavardin (Sarthe),748
Sosa (Eibenstock),2213
Aizumisato,21287
Saint-Sauveur-de-Peyre,266
Mikulovice (Morávia do Sul),642
Celle (Var),1252
Le Plessis-Placy,297
Dompierre-sur-Charente,496
Saint-Sauveur (Haute-Saône),2219
Carbonate,3092
Lignerolles (Allier),701
Sunyer,294
Dommartin-lès-Cuiseaux,728
Montagny-Sainte-Félicité,394
Villedieu-la-Blouère,2355
ロスタ,4693
Fors (Deux-Sèvres),1595
Hamr (Jindřichův Hradec),334
Fara Gera d'Adda,7414
Ongar,6304
Boissy-Maugis,441
Jelen Do,157
