http://dbpedia.org/ontology/SoccerTournament,http://dbpedia.org/ontology/numberOfSeasons
Celebrity Duets: Philippine Edition,3
Britain's Got Talent,9
ディーヴァサーチ,4
Australian Idol,7
Over the Rainbow (Canadian TV series),1
The Voice of Ireland,5
StarStruck (Philippine TV series),7
Eurolaul,14
The Biggest Loser Pinoy Edition,2
Vietnam Idol,6
My Camp Rock,2
My Camp Rock,1
My Camp Rock,1
Côr Cymru,5
MBC偶像明星運動會,11
Crowned: The Mother of All Pageants,1
英国达人,9
Britain's Got Talent,10
絕對SuperStar,3
Eurolaul,15
Britain's Got Talent,11
Jaya Super Singer South India,1
Idol Star Athletics Championships,11
The X Factor (Royaume-Uni),14
Britain’s Got Talent,10
All American Girl (2003 TV series),1
