http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/populationTotal
ベルナツキー基地,12
Nainital,40153
Stazione di ricerca antartica finlandese Aboa,12
Chirmiri,87385
Kurseong,42251
Aboa (research station),13
Mussoorie,24445
Yercaud,36441
Mount Abu,21402
"Dalhousie, India",7413
Daringbadi,9396
Jogindarnagar,131471
Monte Ābū,21816
Cache Creek (Colombie-Britannique),990
Kausani,2419
Estação Akademik Vernadsky,13
Panchgani,14084
Массури,26956
Aboa,11
Эвансвилл,127414
帕拉姆普尔,3088
Base antarctique Mirny,163
Mussoorie,28055
Isfjord Radio,0
Mussoorie,25967
Azarshahr Railway Station,15
德奥拉利,48033
Абоа (антарктическая станция),11
Kalimpong,54111
Wernadski-Station,11
