http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/populationTotal
Люксембург,632842
Gwatemala,14097829
Danemark,6229468
Moldavie,2888405
Paraguay,7249156
Equatoriaal-Guinea,1182518
Kazakhstan,19302597
Uruguay,3173560
Portugal,10372869
Jamaïque,3103222
グリーンランド,56931
Liberia,4142702
Luxembourg,533869
Libia,6569944
Sudan,37993068
Tanzania,50896340
Indonesia,257440009
Tunisie,9800285
Belize (land),354699
Libéria,4526704
Guatemala,15364497
Saint Kitts en Nevis,48301
Polen,38887992
Perù,31619817
Cyprus,1275336
Malta,474025
Guinea,8794481
トーゴ,7116862
Bolivia,11851491
Síria,16464863
Dominica,68669
Sudão do Sul,12723892
Egito,83217
Senegal,14034638
Yemen,26018056
キラ (ウガンダ),345768
巴拉圭,6558649
سوريا,14874633
Fiji,980690
Mähren,3261015
トリニダード・トバゴ,1373210
Oekraïne,44877677
Chile,15758550
Syria,17981874
Tagikistan,8848937
Yemen,24034361
Антигуа и Барбуда,101954
North Korea,24696298
阿魯巴,110056
Fiji,901687
Zambie,16302386
Belarus,8754652
Zentralafrikanische Republik,4809824
Bahamas,384596
Irak,37610935
Kap Verde,516679
Burkina Faso,16458448
Демократическая Республика Конго,84321878
Togo,6875144
カーボベルデ,498732
Jamaica,3174686
Kyrgyzstan,6263071
Líbia,6389874
Afghanistan,32976546
ベトナム,80944457
Ливия,6611546
コンゴ民主共和国,87069802
Bahama's,402749
Sudan Południowy,12517564
أروبا,102110
パラグアイ,6566758
Egypte (land),88577
Niue,1225
Индия,1212296505
Slovaquie,4915222
Repubblica Democratica del Congo,81602062
Vietnam,88105356
莱索托,1993803
Tunisia,11402807
تنزانيا,55815835
Republik Kongo,4612079
Panama,3806361
Burkina Faso,17496512
Сомали,12502480
فيتنام,86284597
Yémen,24639979
Laos,7533542
Maldives,402726
Egipto,81223
Groenlandia,59949
Laos,7716822
Liberia,4151708
カザフスタン,16108757
Катар,2472945
Kirguistán,5550904
Nicoya (ciudad),23486
Ukraine,40998355
Moldavia,2920226
Somalië,12965526
Лесото,2037712
لوكسمبورغ,618012
Mozambique,25738377
Guiné-Bissau,1556301
利比亚,5639550
Soudan du Sud,14014988
Gronelândia,49631
Malta,422468
Corea del Norte,23726783
Oman,5005668
Bahamas,357293
Мавритания,4550852
Кот-д’Ивуар,24450187
Замбия,17284299
Канада,38758460
مدغشقر,21398828
Grenade (pays),107712
Szwajcaria,8436126
غينيا,7795940
Portogallo,10484516
Того,7173411
Панама,3975086
Bhutan,795982
Bahrain,1304723
Burundi,9926541
كندا,40519428
Bolivia,10256243
バハマ,416532
سانت كيتس ونيفيس,48982
Сент-Китс и Невис,61234
Djibouti,834798
Ucraina,42341097
فيجي,916570
ケニア,47410774
Burundi,11361962
Чили,18820453
Madagascar,20372027
Guinee-Bissau,1486083
الدنمارك,5877201
Suecia,9807948
Islas Salomón,513085
Malediven,409858
キプロス,1128042
马达加斯加,23450117
Moçambique,25175922
Pakistan,192795969
Мозамбик,22186566
Weißrussland,9675554
ベナン,11428599
Кения,42092887
Dschibuti,881969
Djibouti (land),889094
赤道几内亚,1216725
Benin,11764231
Cambodge,14254854
Malawi,17276147
Liberia,3933085
Denemarken,5611718
Białoruś,9254721
Central African Republic,4553706
السودان,41368233
Oman,4538738
سلوفاكيا,5114836
Trinidad und Tobago,1421299
Niue,1063
Guinea-Bissau,1901306
Costa d'Avorio,23769295
Malta (land),478484
Вьетнам,95472438
Burundi,10355798
الأوروغواي,3251690
オマーン,4127796
チェコ,10768261
Таджикистан,7821465
Äquatorialguinea,1136884
格鲁吉亚,3557506
Aruba,92457
千里達及托巴哥,1261210
Grèce,11504038
