http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
List of islands of the Faroe Islands,46659
Ilha Rogozen,0
Araara Island,0
Cayo Luis Peña,0
Ha'apai,6602
Mejit Island,284
La Graciosa,691
Ilha de Vassiliev,199101
Mosqueiro,27469
Остров Губернатора,544491
Urup (wyspa),0
パキン環礁,95
ブラチ島,14507
Anticosti Island,222
Kyushu,12863771
キングジョージ島,484
Nanumea-Atoll,597
Dia (wyspa),2
Spinalonga,0
Боа-Вишта (остров),7842
Yonaguni,1856
特瓜島,62
Ustica,1286
Wiencke Island,0
Pentecost Island,14919
ティエラ・デル・フエゴ,145972
Čiovo,6446
Линдисфарн,173
Rennell,1511
ラモトレック環礁,361
Saline Island,0
馬祖列島,11379
Ilhéu das Cabras,0
Rapa (île),560
Herschel Island,0
Ilhas Whitsunday,1728
Nukumanu,701
Мосо,206
Лошинь,8784
Tinian,2842
Сокорро (остров),47
Нанумеа,533
British Columbia Coast,4698
Ilhas Borromeu,215
Îles Ashmore-et-Cartier,0
Huahine,6440
Sulawesi,18017591
Denis Island,89
Isola di Fraser,216
Inisheer,261
Kangaroo Island,3924
Arutua (atoll),608
Cuttyhunk Island,53
Carriacou,7421
Anchor Island,0
Olib,143
Koiluoto,0
Caja de Muertos,0
Isla de Hawái,200357
Lyø,134
Ujelang,0
Réserve écologique des Gannet Islands,0
Grand Turk,3500
Зильт,22888
Prvić (Šibenik),380
Sicilia,5122529
Islas Daitō,1976
Lesbos,88210
Yonaguni,1705
Pampus,2
ムハッラク島,200892
Lanzarote,129106
Bengtskär,1
Tarout Island,78058
Галвестон (остров),45975
北海道,5498086
Isla de Santa Isabel,28492
Sardinien,1598140
Île de Marajó,255071
Dokos,19
Ushi Island,0
Île Sabine,0
Políegos,0
Matsu Islands,11616
Rennell,1479
Móchlos,0
Wyspy Nawietrzne,478299
Niihau,135
Grand Manan (village),2522
Archipel des Comores,1030146
Cornwallis Island (Nunavut),220
圣安唐岛,46583
Ventotene,691
Lesbo,98952
Sipora,18307
Bare Island (Nieuw-Zeeland),0
Lombok,3407784
南安達曼島,212815
蘇門答臘,46268465
Carriacou,8578
جزيرة فيكتوريا (كندا),1976
Geography of Mayotte,191747
Baltrum,452
Skorpios,5
Аукена,38
Flores (Indonesien),1863194
Île Clarence (Îles Shetland du Sud),0
Inishmurray,0
Polyegos,0
Солентинаме,1060
Kotlin (wyspa),48167
Hisingen,131930
Great Barrier Island,1009
Sylt,21357
サムセー島,3742
Saba (Insel),1846
Giannutri,27
Puka-Puka,165
Isola di Banks,139
Madeira,302665
Tiengemeten,10
竹富島,291
科苏梅尔岛,99635
Drakonera,0
Большой Никобар,7739
Ушишир,0
جزيرة بمبا,408977
Tepoto Nord,58
Isola Mocha,773
Plavnik,0
Kyūshū,13872402
جزيرة أديلايد,102
Île-de-Bréhat,431
Casa Conejo,3241
金華山 (宮城県),6
Isla María,2
Aukena,37
Neuirland,131972
