http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Unión Deportiva Lanzarote,6179
Эпиналь (футбольный клуб),8173
SC Fürstenfeldbruck,4993
Unión Atlético Maracaibo,46142
CD Numancia B,971
Gabala FK,1891
Futbol'nyj Klub Stal' Kamians'ke,3007
Playas de Castellón FS,5986
Union Sportive Boulogne Côte d'Opale,15168
ASC Police,10677
Fussballclub Naters,2942
Каламата (футбольный клуб),3977
Баскония (футбольный клуб),8822
НАК Бреда,17983
FC Naftan Navapolatsk,5242
Borgosesia Calcio,2446
Titanes de Tulancingo,2483
Club Deportivo Universidad de Concepción,29673
Harimau Muda A,25364
サンティアゴ・モーニング,4817
ES FC Malley,3347
SV Spittal,7434
Futbol'nyj Klub Rostov,14317
Sriwijaya FC,24153
1. Fußball Club Gera 03 e.V.,14181
HNK Gorica,8199
Krabi FC,5397
Formartine United F.C.,1926
AS Cherbourg,7853
Sorrento FC,5079
F.C. New York,4823
SV Grödig,4218
Extremadura UD,11759
CA River Plate (Montevideo),5769
FK Rostów,15127
贝林佐纳足球俱乐部,5616
卡瓦拉竞技俱乐部,10834
Tur Turek,2
アレマ・インドネシアFC,41746
Interblock Ljubljana,560
PFC Chernomorets Burgas,2055
墨尔本胜利足球俱乐部,51193
Maghreb Fez,50649
United Petrotrin,10849
Al-Shamali AC,15713
安祖荷姆斯足球會,3631
Nadi F.C.,15912
FK Rostov,16347
San Diego Sockers (2009–),14162
Club Irapuato,27458
SC Düdingen,2575
Finance and Revenue FC,36962
Al-Qowa Al-Jawiya,9086
FSV Zwickau,8663
Al-Sadd Sports Club,12350
De Treffers,4544
UC Ceares,1668
Kickers Emden,7839
Chiangrai United F.C.,14390
Ciudad de Lorca CF,1845
CD Idoya,886
Turbine Halle,1001
NSTG Asch,2838
FK Kuban Krasnodar,29039
FK Dainava Alytus,3857
Club Sportivo Italiano,8368
Myny-Futbol'nyj Klub Lokomotyv Charkiv,1457
Nõmme Kalju FC U21,372
K. Londerzeel S.K.,2272
NAC Breda,18853
CSD Independiente del Valle,8407
ヒバーニアンズFC,4144
نادي دلكورد,6117
Audax Italiano,11015
Portonovo SD,5031
Fotbalový Klub Dukla Praha,8787
Grasshopper Club Zürich (femminile),1162
Macaé Esporte Futebol Clube,18
カーシャルトン・アスレティックFC,5194
Persib Maung Bandung,33078
Pécsi Mecsek FC,7854
Sociedade Desportiva Juazeirense,8365
