http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
List of Russian football transfers winter 2009–10,79
Elencos da Copa do Mundo de Clubes da FIFA de 2012,12
List of Cypriot football transfers summer 2013,56
List of French football transfers summer 2013,41
List of German football transfers summer 2010,32
2006–07 Fulham F.C. season,4
List of Belgian football transfers summer 2015,7
West Ham United Football Club 2012-2013,50
Laguna Football Club,12
2004 South Carolina Gamecocks men's Soccer Team,17
West Ham United F.C. Reserves and Academy,40
List of Belgian football transfers summer 2009,21
List of Chinese football transfers winter 2014,42
List of Slovak football transfers winter 2012–13,26
List of Russian football transfers summer 2013,19
Elencos da Copa do Mundo de Clubes da FIFA de 2012,54
2007 SK Brann season,15
List of Belgian football transfers winter 2012–13,9
List of Norwegian football transfers winter 2012–13,25
List of Iranian football transfers summer 2013,12
2010–11 Deportivo Toluca season,19
里斯本雄狮,3
Toledo BM,5
2010–11 Atlante F.C. season,23
List of Cypriot football transfers winter 2013–14,33
List of Maltese football transfers summer 2009,22
List of Serbian football transfers summer 2010,39
List of Ukrainian football transfers summer 2010,33
2010–11 West Ham United F.C. season,13
List of Slovak football transfers summer 2013,7
2013–14 UEFA Youth League squads,53
Sapura HC,15
2014 Fordham Rams men's soccer team,16
2010–11 San Luis F.C. season,2
UR La Louvière Centre,23
2009–10 Göztepe A.Ş. season,100
2010 Saint Louis Athletica season,26
List of Japanese football transfers winter 2011–12,22
Lijst van Bundesliga-transfers zomer 2012,21
List of Bosnia and Herzegovina football transfers summer 2012,6
List of Iranian football transfers winter 2011–12,9
2014 Indonesian Inter Island Cup squads,50
List of Estonian football transfers winter 2012–13,38
List of Serbian football transfers summer 2013,89
List of Azerbaijan football transfers winter 2010,28
2014 Indonesian Inter Island Cup squads,9
2000–01 Fulham F.C. season,38
List of Slovak football transfers winter 2012–13,6
Manchester City Football Club 2002-2003,1
List of Slovak football transfers summer 2012,25
List of Maltese football transfers summer 2010,14
List of Russian football transfers winter 2010–11,83
List of Belgian football transfers summer 2015,55
Toledo BM,9
List of Mexican Football Transfers Winter 2011–12,22
2008–09 Paris Saint-Germain F.C. (Ladies) season,12
List of Turkish football transfers summer 2013,44
2006 SK Brann season,12
List of Maltese football transfers summer 2008,29
2013–14 UEFA Youth League squads,78
List of Bosnia and Herzegovina football transfers winter 2012–13,11
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,20
List of German football transfers summer 2009,12
List of Japanese football transfers summer 2012,39
List of Azerbaijan football transfers winter 2012,19
2000–01 Fulham F.C. season,25
2014 Indonesian Inter Island Cup squads,73
List of Bosnian football transfers winter 2013–14,8
2004–05 Fulham F.C. season,15
List of Japanese football transfers winter 2011–12,25
List of German football transfers summer 2012,24
List of Japanese football transfers winter 2009–10,11
List of Turkish football transfers summer 2013,9
Charlotte 49ers men's soccer,16
Клубный чемпионат мира по футболу 2008 (составы),28
List of Belgian football transfers winter 2011–12,41
List of Russian football transfers winter 2010–11,55
2013年中国足球冬季转会列表,43
Saison 2013-2014 du Valenciennes FC,23
Akron Zips men's soccer,14
List of Chinese football transfers winter 2014,20
Maybank HC,19
Delta Queens,12
2012 FIFA Club World Cup squads,6
Lisbon Lions,2
List of Iranian football transfers winter 2013–14,31
Convocazioni per la Coppa del mondo per club FIFA 2010,7
Club Universidad Nacional 2010-2011,35
2013 FIFA Club World Cup squads,28
List of Belgian football transfers winter 2009–10,29
2013–14 UEFA Youth League squads,2
List of Bulgarian football transfers summer 2013,7
List of Serbian football transfers summer 2010,3
List of Bulgarian football transfers summer 2013,25
List of German football transfers winter 2008–09,7
1982 CIS Men's Soccer Championship,20
Club Universidad Nacional 2010-2011,16
List of Slovak football transfers summer 2013,29
List of Cypriot football transfers summer 2013,77
List of Belgian football transfers summer 2009,83
2012 FIFA Club World Cup squads,22
List of Iranian football transfers summer 2013,30
Universitario Lima/Lista piłkarzy,18
2010–11 San Luis F.C. season,15
List of North American Soccer League transfers in 2014,10
Cal Poly Mustangs men's soccer,23
List of Hungarian football transfers winter 2011–12,4
2014 Indonesian Inter Island Cup qualification squads,33
List of Norwegian football transfers summer 2014,20
List of Iranian football transfers summer 2010,27
2010–11 C.F. Monterrey season,15
List of Hungarian football transfers winter 2011–12,34
List of Chinese football transfers winter 2013,38
2010–11 Club Necaxa season,8
Saison 2013-2014 du Valenciennes FC,18
List of Latvian football transfers winter 2011–12,5
2010–11 Deportivo Toluca season,34
List of Mexican football transfers winter 2013–14,52
2010–11 Club Atlas season,2
List of Iranian football transfers summer 2009,2
List of Belgian football transfers summer 2009,9
List of Ukrainian football transfers winter 2008–09,64
List of Belgian football transfers winter 2012–13,7
List of Azerbaijan football transfers summer 2012,14
Elencos da Copa do Mundo de Clubes da FIFA de 2012,18
List of Turkish football transfers summer 2010,24
List of Greek football transfers summer 2010,25
List of Iranian football transfers winter 2013–14,23
West Ham United FC in het seizoen 2010/11,15
UR La Louvière Centre,89
List of Turkish football transfers summer 2013,41
List of Serbian football transfers summer 2012,93
List of Greek football transfers summer 2010,100
Delta Queens,32
2009–10 Paris Saint-Germain F.C. (Ladies) season,27
List of Mexican football transfers summer 2010,25
List of Bulgarian football transfers summer 2010,24
Laguna Football Club,18
2012–13 Grimsby Town F.C. season,13
List of Estonian football transfers winter 2012–13,30
2009–10 Ipswich Town F.C. season,19
List of German football transfers summer 2012,42
List of Belgian football transfers summer 2009,34
List of Hungarian football transfers summer 2013,75
List of Iranian football transfers summer 2010,7
List of Latvian football transfers summer 2013,21
List of Russian football transfers summer 2012,21
FIU Panthers men's soccer,15
Convocazioni per la Coppa del mondo per club FIFA 2010,5
2008–09 Paris Saint-Germain F.C. (Ladies) season,15
List of Latvian football transfers winter 2011–12,88
2006–07 Plymouth Argyle F.C. season,31
Hóquei Clube de Braga,4
2010 FIFA Club World Cup squads,19
2006–07 Plymouth Argyle F.C. season,25
2010–11 Club América season,63
List of Iranian football transfers summer 2013,66
List of Uzbek football transfers 2012,36
2011–12 Grimsby Town F.C. season,1
2014 Indonesian Inter Island Cup qualification squads,43
List of Belgian football transfers summer 2014,32
List of Belgian football transfers summer 2009,16
E.I.S. Men's Volleyball,5
List of Belgian football transfers summer 2015,63
Al-Sadd Sports Club Handball,13
List of German football transfers summer 2013,43
UMBC Retrievers men's soccer,0
2010–11 Tigres UANL season,13
List of Maltese football transfers winter 2009–10,17
List of Mexican football transfers summer 2010,28
Клубный чемпионат мира по футболу 2012 (составы),60
List of Bulgarian football transfers winter 2010–11,8
List of Belgian football transfers summer 2014,1
List of Iranian football transfers summer 2009,10
List of Azerbaijan football transfers winter 2011,36
List of German football transfers summer 2013,25
List of Serbian football transfers summer 2010,2
List of Chinese football transfers summer 2013,57
2013–14 C.F. União season,23
Лиссабонские львы,11
Green Bay Phoenix men's soccer,36
Cal Poly Mustangs men's soccer,11
List of Mexican football transfers winter 2013–14,21
List of Cypriot football transfers winter 2011–12,1
Convocazioni per la Coppa del mondo per club FIFA 2012,56
List of Latvian football transfers winter 2014–15,14
List of South Korean football transfers winter 2011–12,71
Tacoma Tides,9
2009–10 Ipswich Town F.C. season,6
List of Latvian football transfers winter 2013–14,28
2014 Indonesian Inter Island Cup squads,6
2000–01 Fulham F.C. season,1
قوائم كأس العالم للأندية لكرة القدم 2013,28
List of Ukrainian football transfers summer 2010,6
List of Greek football transfers summer 2012,43
2013年中国足球冬季转会列表,28
2010–11 Club Universidad Nacional season,14
List of Bulgarian football transfers summer 2013,93
List of Dutch football transfers winter 2010–11,41
2012 Wake Forest Demon Deacons men's soccer team,0
Sliema Hotsticks Hockey Club,13
List of Latvian football transfers summer 2014,3
2006 FIFA Club World Cup squads,16
Laguna F.C.,14
List of Latvian football transfers winter 2011–12,13
List of Russian football transfers summer 2010,26
2002–03 Manchester City F.C. season,7
List of German football transfers winter 2008–09,1
Manchester City Football Club 2002-2003,17
List of Latvian football transfers summer 2012,27
2010–11 C.F. Pachuca season,5
List of Greek football transfers summer 2012,13
Клубный чемпионат мира по футболу 2013 (составы),16
Sportsklubben Brann 2006,3
Penn State Nittany Lions men's soccer,21
List of Macedonian football transfers winter 2014–15,6
List of Russian football transfers winter 2010–11,64
Club Universidad Nacional 2010-2011,23
List of German football transfers summer 2009,30
Convocazioni per la Coppa del mondo per club FIFA 2008,26
List of Russian football transfers winter 2011–12,58
Ohio State Buckeyes men's soccer,29
Green Bay Phoenix men's soccer,16
Elencos da Copa do Mundo de Clubes da FIFA de 2012,24
