http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Fara Vicentino,3858
Gournay-Loizé,663
Ramallah,24313
"Ansariyeh, Razavi Khorasan",18
Rixton-with-Glazebrook,2203
法蘭西博納依,789
Plaisance-du-Touch,17182
"Saint-Saturnin, Lozère",76
"Klondyke, Arizona",47
维莱迪厄莱沙托 (卢瓦尔-谢尔省),472
サン＝シプリアン (コレーズ県),351
Dompierre-sur-Authie,353
Powiat Hodonín,18163
"Alga, Burkina Faso",1133
Blankenburg (Thüringen),173
カンパニア州,5538246
Gournay-le-Guérin,141
Saint-Brice (Mayenne),497
拉维莱迪厄 (洛泽尔省),48
Villedieu (Cantal),531
Saint-Sauveur-de-Carrouges,219
沙朗特河畔东皮耶尔,560
Gampel-Bratsch,1733
Fara Novarese,1720
سيفاستوبول,379073
Montagny (Loira),903
Rzeczyca (Tuczno),195
Vigneux-Hocquet,276
Raben Steinfeld,1179
Ainab,2561
"Pleasant Valley Township, Carroll County, Iowa",418
三宅村,2517
"Bistra, Maramureș",4162
Sinagra,3414
シダー郡区 (アイオワ州カルホーン郡),437
"Oui, Burkina Faso",922
Marsac (Charente),684
Saint-Cyprien (Pyrénées-Orientales),9853
Río Segundo,21102
Damery (Marne),1306
Abos,479
Seehausen am Staffelsee,2229
博纳伊 (安德尔省),95
Saint-Brice (Charente),1337
Kruklanki,1278
Hranice (district de České Budějovice),208
Montagny (Sabaudia),549
Bonneuil-les-Eaux,799
Plaisance (Gers),1701
Dommartin-le-Franc,239
Le Plessis-aux-Bois,217
"Rajnagar, Birbhum",13852
Parava,2733
Dommartin-le-Saint-Père,252
Barrancas (La Guajira),20463
Němčice nad Hanou,2200
"Alur, Nanded",2353
Itu (Nigeria),111550
"Andover Township, Ashtabula County, Ohio",3073
Wuyi (Jinhua),301465
Merville (Nord),9461
Qarabagh (Ghazni),199032
Breitscheid (Mayence-Bingen),131
Oberdorf-Spachbach,367
Río Segundo Department,85827
Kirchdorf in Tirol,3995
Ласбела (округ),432956
"Świerzno, West Pomeranian Voivodeship",619
غراندفونتين,416
"Biskupice, Toruń County",438
Амран (город),81928
Werther (Turíngia),3467
"Bako, Ivory Coast",14673
Recologne (Haute-Saône),37
Hołubiwka,27630
"Municipio de Curran (condado de Sangamon, Illinois)",1631
Плезанс-дю-Туш,17305
穆尔河畔苏尔茨巴赫,6371
Fara (Burkina Faso),9626
Mechelinki,286
Tila (Chiapas),63810
Janów (Brochów),407
Plaisance (Aveyron),199
Janów Podlaski,2792
Saint-Gratien (Somme),350
Veliki Gaber,326
"Ovacık, Çine",562
Mechelinki,320
"Sulzbach, Rhein-Lahn",203
Berge (Prignitz),829
プレザントバレー郡区 (アイオワ州セロゴード郡),582
Sanxia,114275
Gornji Potočari,988
Hořice u Humpolce,209
Janów (powiat brzeziński),69
Damery (Somme),244
ヴィーデン (シュヴァルツヴァルト),485
Carbonate,2980
北欧理事会,24052823
عرف (كوهمرة خامي),10
Marest,226
Yanping,557217
Saint-Saturnin-du-Limet,581
Hunterganj,88536
Carville-Pot-de-Fer,90
Umbria,970149
布里 (诺尔省),354
"Akbarabad, Esmaili",720
Boulogne Sur Mer (Argentina),57561
Costeşti (Vâlcea),3864
Wieden (Badenia-Wirtembergia),570
Lora de Estepa,848
Carignan (Ardennes),3729
阿龙德河畔古尔奈,563
Illingworth,11853
Biskupice (powiat buski),172
"Saint-Cyprien, Lot",337
Le Plessis-Patte-d'Oie,98
Хомс (Ливия),184681
"Kamali, Bushehr",39
"Ramin, Germany",697
Neuenkirchen (Diepholz),1336
"Kandal, West Azerbaijan",524
Crépy (Paso de Calais),184
"Agios Amvrosios, Limassol",300
Veliki Gaber,289
Dalar,3305
Krasne (powiat rzeszowski),3547
Selva di Cadore,471
Alberdi (departement),17667
Kikai (Kagoshima),8081
Pommiers-la-Placette,502
"Runaway Bay, Queensland",9590
Montagny-lès-Seurre,107
Requena (província),68391
Ramin,692
Węsiory,863
Qomsheh Tappeh,338
"Padma, Hazaribagh (community development block)",45896
"Saman, Ilam",908
"Juda, Wisconsin",369
加莱拉,1280
Beauregard-de-Terrasson,582
"Ortaköy, Mardin",8359
Saint-Brice-Courcelles,3869
"Municipio de Soldier (condado de Jackson, Kansas)",398
Fara (Kostel),34
أوفرايسل,1121480
Issel,522
Requena Province,65712
Werther (Turingia),3580
Saint-Sauveur-de-Landemont,528
Галера (Гранада),956
巴列德马塔莫罗斯,375
Tila (Chiapas),78702
伊塞 (奥德省),496
Saint-Martin-des-Champs (Yonne),256
Dommartin-le-Franc,198
La Celle-sous-Montmirail,126
"Sanriku, Iwate",6785
Rzeżęcin,273
Gościcino,4878
Issel (Aude),463
Costești (Vâlcea),3601
Conflans-en-Jarnisy,2615
Dommartin (Nièvre),201
Нойенкирхен (Ланд-Хадельн),1518
"Avon Township, Lake County, Illinois",59486
كمالي (فارس),1235
Mées,1558
Rosta,4859
錫達鎮區 (堪薩斯州考利縣),46
"North Lake Parish, New Brunswick",195
Saint-Saturnin (Marna),45
Kalabria,2051633
Arauco (Chile),35433
La Celle-sur-Nièvre,163
"Mend, Iran",1505
Pogrodzie,574
بول (تشيشير),113
Saint-Brice (Mayenne),527
Faramans (Isère),998
Viry-Noureuil,1429
Лез (Верхняя Гаронна),74
德纳伊尔莱尚泰尔,112
Taï,31296
Perthes (Haute-Marne),652
圣索沃尔-德朗德,1416
Mory-Montcrux,103
Raman District,91059
Le Plessis-Dorin,171
"Municipio de Blackbird (condado de Thurston, Nebraska)",1413
"Mendham, Saskatchewan",49
L'Épinay-le-Comte,162
Frymburk (Boêmia do Sul),1092
Boissy-aux-Cailles,271
Śliwin,221
Charmoille (Doubs),348
"Alai, Iran",42
Raben Steinfeld,1200
Half Moon Lake (Alberta),281
Mory,296
Nawabganj (Unnao),10934
Sankt Martin am Tennengebirge,1534
"Pepperell (CDP), Massachusetts",3142
Starzyno (Puck),1283
Königsfeld (Eifel),553
Piotrowice (powiat oświęcimski),2189
Florești (Mehedinți),2715
Peyrelongue-Abos,154
Границе (район Хеб),2288
Aappilattoq (Kujalleq),131
Promina,1324
Lagny,700
Крепи (Эна),1844
"Jung District, Ulsan",250578
Huby-Saint-Leu,990
"Stawno, Kamień County",168
Ar-Rastan,43085
Garden Plain Township (Illinois),1207
"Takah, West Azerbaijan",100
Taufkirchen (Vils),9804
Dommartin (Ain),917
Drage (Frise-du-Nord),538
Saint-Sauveur-Marville,1075
"Tejada, Province of Burgos",38
Сенан (Испания),42
Zuglio,575
Marsac-sur-Don,1351
Pepperell (Massachusetts),11342
Blankenburg (quartiere di Berlino),6858
Везенберг (Гольштейн),1152
Le Plessis-aux-Bois,216
"Bonpland, Corrientes",1013
Hebrom,211107
El Campillo de la Jara,421
Lety (Prague-West District),1461
Provincia di Bokeo,155034
Hagen (Mozela),259
Garzewko,140
圣西普里安 (科雷兹省),355
Dommartin-aux-Bois,355
قسم راز الريفي (مقاطعة بجنورد),6756
Saint-Sauveur-des-Landes,1102
Fors (Deux-Sèvres),1824
Abbecourt,832
Lega araba,381696835
Jussy (Yonne),390
Villa Oliva,1045
Schönwald (Brandenburg),1377
Hagen (Holstein),430
Saint-Sauveur-de-Pierrepont,129
Bonbon (Haïti),6660
Доммартен-ле-Кок,59
La Celle-sur-Loire,886
Biedkowo,202
Saint-Sauveur-d’Émalleville,911
Сегура-де-лос-Баньос,41
Spitz (Autriche),1570
Paroisse de North Lake,269
Marest,290
La Villedieu (Charente-Maritime),226
Cressy,320
Mashan,389852
Bemowo Piskie,1180
Берндорф (Нижняя Австрия),9167
Santísima Trinidad (Asunción),4774
Kaifu (Changsha),370961
圣布里克苏拉内 (奥恩省),184
Huerta (Castille-et-León),288
Brzeziny (powiat janowski),99
Perthes (Haute-Marne),630
Saint-Genis-l'Argentière,818
Landser (Frankrijk),1317
"Blankenburg, Unstrut-Hainich-Kreis",201
Seyssel (Górna Sabaudia),2295
Marsac-en-Livradois,1209
Rti (Lučani),541
Commune de Oru,906
"Nowe Biskupice, Lubusz Voivodeship",91
"Drama, Šentjernej",96
Raz Rural District,5075
ウスチ＝マヤ地区,10150
Saint-Brice (Charente),906
Saint-Brice-sous-Rânes,161
Botany Bay City,31616
Akbarabad-e Pain,29
Grunwald (województwo łódzkie),70
Breitenstein (Südharz),509
Soto de Cerrato,223
Dompierre-sous-Sanvignes,88
Сото-де-ла-Вега,2298
Boulogne (Vendée),734
圣索弗德皮伊诺尔芒 (吉伦特省),434
Pers-Jussy,2358
Dommartin-lès-Cuiseaux,804
"Akbarabad, Khonj",95
Sinkiang,21773174
"Ziviyeh, Baneh",612
"Taqa, Iran",65
Río Cauto,46657
Sindh,44857345
Syria,18294387
Mala Remeta,182
Beauregard (Lot),223
Vila Maria (distrito de São Paulo),91
Strongyli (Crete),0
"Jussy, Yonne",525
Boissy-le-Bois,190
Luc-la-Primaube,6470
Amancio (Cuba),39286
"Pain, Kerman",16
圣马丁 (南魏恩斯特拉瑟县),1608
"Werder, Ethiopia",15840
Зандберг (Бавария),2481
那賀町,13435
"La Celle, Allier",430
Bistra (Alba),4469
Velle-sur-Moselle,266
Gournay-en-Bray,6716
Bad Deutsch-Altenburg,1192
Фурн-Кабардес,55
Mikulovice (Znojmo District),525
Boulogne (Wandea),754
Hussein Dey (distrito),260058
Dommartin-lès-Remiremont,1972
Moissy-Moulinot,31
Rewal,747
Коп (город в Германии),203
Libkov (okres Domažlice),108
Saint-Sauveur (Meurthe e Mosella),55
Medinilla (gemeente),156
Saint-Martin-des-Champs (Cher),310
أكبر أباد (مقاطعة فسا),1942
Paska,141
Andon (Alpes-Maritimes),634
Saint-Cyprien (Corrèze),345
贝恩多夫 (莱茵兰-普法尔茨州),541
Sherbourne,167
حيدرالات (مقاطعة فومن),702
Spital am Pyhrn,1982
Rivera (Zwitserland),2098
Boulogne (Vendeia),551
Schönwald (Brandebourg),1097
Crépy (Pas-de-Calais),199
バーンパコン郡,96710
Эль-Кампильо-де-ла-Хара,398
サウス・イースト・クイーンズランド,3261406
Mée,169
Podunajské Biskupice,22506
"Rajnagar, Chhatarpur",12591
El Alia,30567
Biskupice Podgórne,190
