http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/areaLand
Ørland,73542778
Decatur County (Kansas),2384695367
ベントン郡 (ミシシッピ州),1009991412
Comté de Carteret,1305859249
مقاطعة أرتشوليتا (كولورادو),3425060317
Frosta,73099079
ガンパハ県,1277440590
Boyd County (Nebraska),1466957586
埃爾斯沃思縣 (堪薩斯州),1934938756
Hrabstwo Bacon,646757298
ヴァドソー,1290038582
Adams County (Indiana),854208111
Nebraska,201984671600
Beaver County (Oklahoma),4782735798
Ulstein,92707808
Condado de Bent,3982504039
Comté d'Arkansas,2484140882
"Сент-Клэр (округ, Алабама)",1574330335
ビーバー郡 (ユタ州),6984060386
西爾達爾,1431914773
"Baker County, Georgia",906224011
里訥斯訥斯,306069271
Etne,696738032
Condado de Bartow,1214050791
敘爾達爾,1532883749
Roan,345012289
ニュートン郡 (インディアナ州),996095851
Alta (Finnmark),3738443577
"Bee County, Texas",2189178273
ウォレス郡 (カンザス州),2449495965
Siljan,211007084
Малвик,160280788
Smøla,274707136
Kvinnherad,1081722643
Condado de Boyd (Kentucky),419690602
Cowley County,2831457848
Elbert County (Colorado),4586213705
"Каули (округ, Канзас)",2932869075
Hrabstwo Nassau (Nowy Jork),703208494
"Хеттингер (округ, Северная Дакота)",2858361668
Værøy,18283141
プレイサー郡 (カリフォルニア州),3720719922
Bokn,45764893
"Бейфилд (округ, Висконсин)",3815315431
Kvam,582802561
Drammen,131489983
Tysvær,393820064
Hrabstwo Adams (Idaho),3655059454
バークレー郡 (ウェストバージニア州),847403690
ウタウエ地域,30279403498
Leikanger,172569036
アシュランド郡 (オハイオ州),1078778897
Condado de Berkshire,2510325841
Phillips County (Kansas),2297222730
Narvik,1885209366
Vefsn,1813963599
Volda,546199581
Contea di Montgomery (Kansas),1680023713
Alta (Finnmark),3716994132
Condado de Jewell,2351421031
Довре (коммуна),1408414584
Condado de Marion (Kansas),2464039542
ブリストル郡 (ロードアイランド州),60990399
Муллайтиву (округ),2459194335
Hattfjelldal,2371747434
Skjåk,1901972119
Brantley County,1111903805
松 (挪威),96550640
Hrabstwo Bell (Kentucky),922721975
Contea di Blue Earth,1937423837
阿拉斯加州,1539229086207
Hrabstwo Blaine (Nebraska),1865730070
"Yolo County, California",2593799024
"Marion County, Kansas",2326250639
弗萊克菲尤爾,501987226
Hrabstwo Scott (Indiana),474299882
Нес (Бускеруд),804714938
Contea di Billings,2872313764
Sande (Norwegia),88766748
Hrabstwo Blackford,408221594
"Ассампшен (приход, Луизиана)",834849856
錫利揚,192462965
ベネワ郡 (アイダホ州),2012234035
Ballangen,860763201
Bodø,1268119417
Rana (Norvegia),4203186723
Contea di Nemaha (Kansas),1922985457
Condado de Volusia,2876183213
"Grant County, Kansas",1481739816
Berkeley County (West Virginia),868843572
Ulstein,96143460
Ullensaker,248490318
"Эймит (округ, Миссисипи)",1816931738
Comté de Franklin (Kansas),1527704940
Idaho,207459015015
Comté de Greeley (Kansas),1983367402
"Allamakee County, Iowa",1732536938
Condado de Albany (Wyoming),10993079298
Time (Noorwegen),165370007
مقاطعة ألامانس (كارولاينا الشمالية),1113899650
Contea di Albany (Wyoming),11557869792
Condado de Amite,1913864984
Contea di Ottawa (Kansas),1864725910
凱厄瓦縣 (堪薩斯州),1856773185
Blair County,1397633673
Condado de Bosque,2580974187
Øystre Slidre,841673452
明尼蘇達州,197179353158
アンダーソン郡 (サウスカロライナ州),1768909195
Эйд (Норвегия),433500381
مقاطعة سميث (كانساس),2291876321
Askim (Norvège),64729472
Minnesota,199033490104
Fusa (Norvegia),346139575
Kragerø (gemeente),299325551
Comté de Bond,1029324342
Condado de Carteret,1327456216
"Кейн (округ, Иллинойс)",1339916113
Sokndal,276925329
Albany County (Wyoming),11003261573
Tranøy,519221138
Nesseby,1368860737
Condado de Armstrong (Pensilvania),1622512344
Høyanger,806316627
Condado de Caroline (Maryland),814033758
Намсскуган,1327134926
北奧達爾,460186729
Condado de Adams (Idaho),3574896464
埃茲庫格,574499142
Nesset,1003755499
Hrabstwo Kern,20257458076
"Берген (округ, Нью-Джерси)",611937965
Condado de Allegany (Nova Iorque),2568849332
Sør-Fron,704832540
Hrabstwo Pratt,1989878170
Contea di Angelina,2120003933
Bø i Vesterålen,240960195
أوركدال,558590327
"Adams County, Illinois",2252052766
Vefsn,1902463586
Mauricie,35242709903
福爾達爾,1215209937
Delaware,4953548497
布鲁斯县,3908307385
Condado de Baca,6590334190
Comté de Sherman (Kansas),2832542554
Condado de Bee,2302764088
Baker County (Oregon),7808279408
Radøy,111981444
Hrabstwo Talladega,1842978850
مقاطعة رولنز (كانساس),2777765208
مقاطعة ليفينوورث (كانساس),1199671340
Nesna,172850712
巴爾斯菲尤爾,1415746773
Masfjorden,533935226
Condado de Archuleta,3415670470
روان (النرويج),366796087
伊伯斯特,239940389
Oppegård,33841702
Fyresdal,1128888846
Gjøvik,608066003
Tysnes,233693171
奧德雷恩縣 (密蘇里州),1753212228
Nesna,179203671
Vavuniya District,1877819409
Contea di Bath (Virginia),1358066702
Stranda,854873671
Vågsøy,173210188
Volda,518753869
夏延縣 (堪薩斯州),2647974660
Contea di Bottineau,4375050592
Elk County (Kansas),1610002167
Йильдескол,636982881
Sirdal,1413279743
海姆瑟達爾,676755891
Хурум (коммуна),153574992
"Алпина (округ, Мичиган)",1426917648
霍爾托倫,1126272127
Nord-Odal,469608629
Maine,77656561271
ラサール郡 (イリノイ州),2980110351
Hrabstwo Barrow,405786366
Bottineau County,4402577887
Fet (Norvegia),140831968
Hemsedal,701544161
سنيلفيورد,486059167
Condado de Bonneville,5035513643
Contea di Baldwin (Alabama),4217087279
Sørfold,1431570071
Gausdal,1162621142
"Blaine County, Idaho",6954673604
مقاطعة ناسو (نيويورك),744324511
"Bosque County, Texas",2610159618
Folldal,1201711702
アスケー,93708675
Sheridan County (Kansas),2394219641
Hrabstwo St. Clair (Alabama),1674450650
Comté d'Adams (Iowa),1149675168
Саннёй,20845060
Stange,652296787
"Пьюласки (округ, Кентукки)",1757016999
Askvoll,308835724
Evje og Hornnes,500491308
アルベマール郡 (バージニア州),1958345120
Hrabstwo Anderson (Karolina Południowa),1887140163
Fjaler,383513911
Hemsedal (gemeente),708072646
Karlsøy,1089830685
厄什庫格,133998437
"Осборн (округ, Канзас)",2347713408
Condado de Atkinson,907746512
Georgia,152998689121
Eidsvoll,376761327
アーカンソー州,139006512266
Leka (Norwegen),105090215
