http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/populationTotal
Люксембург,593364
Gwatemala,15037233
Danemark,5809780
Moldavie,2855610
Paraguay,6623271
Equatoriaal-Guinea,1249033
Kazakhstan,18402675
Uruguay,3280805
Portugal,9943855
Jamaïque,2889492
グリーンランド,55333
Liberia,4375087
Luxembourg,583193
Libia,6279263
Sudan,39504756
Tanzania,52298774
Indonesia,250146730
Tunisie,10841072
Belize (land),366287
Libéria,4288472
Guatemala,16339085
Saint Kitts en Nevis,53239
Polen,37202352
Perù,29599421
Cyprus,1183454
Malta,445346
Guinea,9043892
トーゴ,7820902
Bolivia,10974493
Síria,17524164
Dominica,73988
Sudão do Sul,12443646
Egito,88015
Senegal,13329804
Yemen,25638096
キラ (ウガンダ),323541
巴拉圭,6864228
سوريا,16364388
Fiji,918424
Mähren,3091092
トリニダード・トバゴ,1338036
Oekraïne,42478566
Chile,17508449
Syria,16511526
Tagikistan,8602709
Yemen,26628860
Антигуа и Барбуда,95615
North Korea,25622738
阿魯巴,103933
Fiji,873057
Zambie,16084392
Belarus,9070668
Zentralafrikanische Republik,4794589
Bahamas,383744
Irak,38577895
Kap Verde,544876
Burkina Faso,16622291
Демократическая Республика Конго,79161442
Togo,7626543
カーボベルデ,550382
Jamaica,2946414
Kyrgyzstan,5754640
Líbia,6186132
Afghanistan,33416213
ベトナム,88272309
Ливия,6689274
コンゴ民主共和国,80098131
Bahama's,385432
Sudan Południowy,12084471
أروبا,99072
パラグアイ,6628155
Egypte (land),88581
Niue,1233
Индия,1303356867
Slovaquie,5426428
Repubblica Democratica del Congo,85526820
Vietnam,87130798
莱索托,2098279
Tunisia,11417020
تنزانيا,51272698
Republik Kongo,4782232
Panama,3841134
Burkina Faso,17008475
Сомали,12070831
فيتنام,88145241
Yémen,24314367
Laos,7020389
Maldives,405595
Egipto,88293
Groenlandia,58025
Laos,7081918
Liberia,4523402
カザフスタン,16901210
Катар,2370366
Kirguistán,5986159
Nicoya (ciudad),25613
Ukraine,41220112
Moldavia,2952999
Somalië,12870979
Лесото,2038507
لوكسمبورغ,564220
Mozambique,24060986
Guiné-Bissau,1705240
利比亚,6111950
Soudan du Sud,12926711
Gronelândia,53707
Malta,434376
Corea del Norte,25515660
Oman,4579124
Bahamas,396229
Мавритания,4202919
Кот-д’Ивуар,24841550
Замбия,16923821
Канада,36301065
مدغشقر,21537648
Grenade (pays),112035
Szwajcaria,8417035
غينيا,8494179
Portogallo,10583789
Того,7662352
Панама,3777709
Bhutan,755676
Bahrain,1419042
Burundi,10724593
كندا,37558994
Bolivia,11297037
バハマ,394773
سانت كيتس ونيفيس,54288
Сент-Китс и Невис,56204
Djibouti,840671
Ucraina,42980483
فيجي,930810
ケニア,44670656
Burundi,10992518
Чили,18892787
Madagascar,21624014
Guinee-Bissau,1608942
الدنمارك,5530450
Suecia,10026960
Islas Salomón,544471
Malediven,403292
キプロス,1194219
马达加斯加,22570720
Moçambique,25298647
Pakistan,197749878
Мозамбик,24571491
Weißrussland,9241535
ベナン,11183562
Кения,43154525
Dschibuti,849230
Djibouti (land),808691
赤道几内亚,1172698
Benin,11090780
Cambodge,15694376
Malawi,15985406
Liberia,4365872
Denemarken,5459383
Białoruś,9790683
Central African Republic,4570408
السودان,40621657
Oman,4331082
سلوفاكيا,5197514
Trinidad und Tobago,1380894
Niue,1169
Guinea-Bissau,1746485
Costa d'Avorio,24806524
Malta (land),435203
Вьетнам,91578293
Burundi,11308157
الأوروغواي,3325165
オマーン,4336645
チェコ,10703308
Таджикистан,8283532
Äquatorialguinea,1247523
格鲁吉亚,3604745
Aruba,98312
千里達及托巴哥,1333594
Grèce,10945365
