http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
2000–01 Manchester City F.C. season,34
List of Bulgarian football transfers winter 2010–11,18
List of Chinese football transfers winter 2011,1
2010 Rochester Rhinos season,5
West Ham United FC in het seizoen 2010/11,20
List of Hungarian football transfers winter 2011–12,56
List of Bosnian football transfers winter 2013–14,23
List of Maltese football transfers summer 2012,11
Convocazioni per la Coppa del mondo per club FIFA 2008,4
List of German football transfers summer 2013,36
List of Russian football transfers winter 2010–11,71
2013–14 C.F. União season,5
2010–11 Tigres UANL season,4
List of Bulgarian football transfers winter 2013–14,74
2009 Carolina RailHawks FC season,6
2010 FIFA Club World Cup squads,32
List of French football transfers summer 2013,8
2010–11 Club América season,30
List of Cypriot football transfers winter 2011–12,100
Michigan Wolverines men's soccer,15
List of Serbian football transfers winter 2011–12,11
Convocazioni per la Coppa del mondo per club FIFA 2012,34
List of Latvian football transfers winter 2011–12,16
List of Iranian football transfers summer 2011,14
2005 South Carolina Gamecocks men's soccer team,12
List of Maltese football transfers summer 2008,34
2014–15 UEFA Youth League squads,27
List of Chinese football transfers winter 2014,12
Sliema Hotsticks Hockey Club,13
2013–14 Valenciennes FC season,22
West Ham United FC in het seizoen 2012/13,44
List of Iranian football transfers winter 2013–14,23
2013年中国足球冬季转会列表,44
List of Bulgarian football transfers summer 2010,90
List of Mexican football transfers summer 2010,26
1982 CIS Men's Soccer Championship,14
List of Hungarian football transfers summer 2012,35
List of Uzbek football transfers 2010,30
List of Hungarian football transfers winter 2011–12,38
2013–14 UEFA Youth League squads,18
List of Belgian football transfers summer 2014,23
2012 Wake Forest Demon Deacons men's soccer team,11
2007 CIS Men's Soccer Championship,10
Akron Zips men's soccer,16
2006 FIFA Club World Cup squads,17
List of German football transfers winter 2008–09,19
2008 FIFA Club World Cup squads,13
List of Hungarian football transfers summer 2010,86
List of Serbian football transfers winter 2013–14,19
List of Maltese football transfers summer 2009,18
List of Latvian football transfers summer 2012,36
List of Russian football transfers summer 2013,38
Manchester City Football Club 2000-2001,31
2006 South Carolina Gamecocks men's Soccer Team,4
2014–15 UEFA Youth League squads,73
List of Russian football transfers summer 2013,32
Convocazioni per la Coppa del mondo per club FIFA 2010,5
2003–04 Fulham F.C. season,21
UC Santa Barbara Gauchos men's soccer,9
List of Belgian football transfers summer 2015,72
List of Hungarian football transfers winter 2011–12,19
List of Chinese football transfers summer 2010,6
Green Bay Phoenix men's soccer,9
List of South Korean football transfers summer 2012,27
New Mexico Lobos men's soccer,14
Convocazioni per la Coppa del mondo per club FIFA 2013,19
St. Francis Brooklyn Terriers men's soccer,5
2013年中国足球冬季转会列表,2
Maryland Terrapins men's soccer,1
List of Bulgarian football transfers summer 2013,32
Hull City A.F.C. Reserves and Juniors,39
List of Japanese football transfers winter 2009–10,38
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,45
List of Russian football transfers winter 2011–12,78
List of Japanese football transfers summer 2012,36
List of Chinese football transfers winter 2011,28
List of Turkish football transfers summer 2014,26
2002–03 Manchester City F.C. season,8
2013–14 Viborg FF season,25
2005 South Carolina Gamecocks men's soccer team,21
2014–15 UEFA Youth League squads,50
Delta Queens,20
List of Ukrainian football transfers summer 2009,1
List of Serbian football transfers summer 2013,43
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,20
List of Russian football transfers winter 2009–10,67
Delta Queens,26
List of Norwegian football transfers 2010,22
Syracuse Orange men's soccer,23
List of Azerbaijan football transfers summer 2010,4
List of Belgian football transfers winter 2009–10,16
List of Iranian football transfers summer 2010,2
List of Greek football transfers summer 2011,6
2008 Colo-Colo season,25
HNK Hajduk Split statistics and records,8
List of Hungarian football transfers summer 2012,89
Maybank HC,11
Syracuse Orange men's soccer,7
2014–15 Grimsby Town F.C. season,32
List of German football transfers winter 2012–13,40
Клубный чемпионат мира по футболу 2008 (составы),24
List of Chinese football transfers winter 2011,35
2004–05 Fulham F.C. season,27
List of Slovak football transfers winter 2012–13,5
List of Belgian football transfers winter 2012–13,30
List of Cypriot football transfers winter 2011–12,91
2009–10 Ipswich Town F.C. season,27
List of Chinese football transfers winter 2014,35
List of German football transfers summer 2013,21
List of Azerbaijan football transfers summer 2012,34
List of Azerbaijan football transfers winter 2011,27
List of South Korean football transfers winter 2011–12,4
2010–11 Estudiantes Tecos season,26
Syracuse Orange men's soccer,16
2014 Indonesian Inter Island Cup squads,42
Manchester City Football Club 2000-2001,16
2014–15 UEFA Youth League squads,28
2014 Indonesian Inter Island Cup squads,50
List of Russian football transfers summer 2010,69
2005 South Carolina Gamecocks men's soccer team,1
List of Ukrainian football transfers summer 2009,23
List of Chinese football transfers summer 2010,38
List of French football transfers summer 2013,5
List of Azerbaijan football transfers summer 2012,19
List of Chinese football transfers winter 2012,5
List of Russian football transfers summer 2010,18
List of Bosnia and Herzegovina football transfers winter 2012–13,18
List of Latvian football transfers winter 2014–15,22
List of Slovak football transfers summer 2013,27
List of Maltese football transfers summer 2010,1
List of Norwegian football transfers winter 2012–13,27
2013年中国足球冬季转会列表,48
List of Belgian football transfers summer 2015,13
韋斯咸2012年至2013年球季,46
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,5
2006 South Carolina Gamecocks men's Soccer Team,23
Akron Zips men's soccer,11
Akron Zips men's soccer,6
List of Mexican football transfers summer 2010,22
FIU Panthers men's soccer,14
2013–14 UEFA Youth League squads,47
List of South Korean football transfers summer 2012,27
All-time Saint Louis Athletica roster,12
List of Chinese football transfers winter 2011,21
2008–09 Queensland Roar W-League season,15
Toledo BM,5
List of Uzbek football transfers 2012,49
Al-Rayan SC Handball Team,2
2014–15 UEFA Youth League squads,11
List of Azerbaijan football transfers winter 2012,19
List of Chinese football transfers winter 2012,31
List of Norwegian football transfers 2010,32
2010–11 San Luis F.C. season,17
2012–13 West Ham United F.C. season,41
List of Belgian football transfers winter 2013–14,33
List of Cypriot football transfers summer 2013,91
Cal Poly Mustangs men's soccer,30
List of Hungarian football transfers summer 2010,40
List of Ukrainian football transfers summer 2010,10
List of Azerbaijan football transfers summer 2011,4
List of Azerbaijan football transfers winter 2014,5
West Ham United F.C. Reserves and Academy,62
Sapura HC,16
Elencos da Copa do Mundo de Clubes da FIFA de 2012,19
List of Japanese football transfers winter 2009–10,19
List of Azerbaijan football transfers summer 2011,3
List of Hungarian football transfers summer 2012,3
List of Serbian football transfers winter 2011–12,24
List of Iranian football transfers winter 2013–14,44
List of German football transfers summer 2013,26
List of Bulgarian football transfers winter 2011–12,79
List of Cypriot football transfers summer 2008,3
List of Greek football transfers summer 2012,34
List of Iranian football transfers summer 2011,25
2013 FIFA Club World Cup squads,10
List of Belgian football transfers summer 2014,52
Laguna F.C.,22
2014–15 Grimsby Town F.C. season,19
List of Russian football transfers winter 2011–12,38
List of Belgian football transfers summer 2009,14
List of Latvian football transfers summer 2014,6
List of Serbian football transfers winter 2013–14,30
2008–09 Queensland Roar W-League season,10
List of Iranian football transfers summer 2013,4
F.C. Cape Town,23
List of Uzbek football transfers 2012,53
Toledo BM,12
2002–03 Manchester City F.C. season,45
Saison 2013-2014 du Valenciennes FC,21
FIU Panthers men's soccer,1
List of Estonian football transfers summer 2013,8
List of Japanese football transfers summer 2012,4
West Ham United F.C. Reserves and Academy,43
List of Slovak football transfers summer 2013,37
Universitario Lima/Lista piłkarzy,26
List of Cypriot football transfers winter 2013–14,35
2010–11 C.F. Pachuca season,19
List of Russian football transfers winter 2011–12,26
List of Belgian football transfers summer 2009,29
2012 Wake Forest Demon Deacons men's soccer team,8
List of Azerbaijan football transfers winter 2011,31
2006 FIFA Club World Cup squads,21
List of Russian football transfers summer 2010,68
List of Russian football transfers winter 2009–10,58
2013–14 Valenciennes FC season,21
2014–15 UEFA Youth League squads,38
Al Rayyan Handball Team,14
2010–11 Puebla F.C. season,150
List of Russian football transfers winter 2011–12,32
Wake Forest Demon Deacons men's soccer,6
2014–15 UEFA Youth League squads,20
Ignition de Détroit,66
2007 CIS Men's Soccer Championship,13
2006 SK Brann season,7
Lisbon Lions,12
List of Chinese football transfers winter 2014,27
List of Serbian football transfers summer 2012,5
List of Dutch football transfers winter 2010–11,6
"Al-Arabi (Saudi Arabia, handball club)",9
List of Slovak football transfers summer 2012,4
List of Latvian football transfers summer 2013,26
List of South Korean football transfers winter 2013–14,4
Ajax Sportsman Combinatie,67
List of Hungarian football transfers summer 2010,7
List of Mexican football transfers winter 2013–14,14
Syracuse Orange men's soccer,14
Ohio State Buckeyes men's soccer,28
Maryland Terrapins men's soccer,18
List of Belgian football transfers summer 2009,6
Sliema Hotsticks Hockey Club,15
List of Greek football transfers summer 2012,7
2006–07 Plymouth Argyle F.C. season,29
List of Chinese football transfers winter 2014,23
Clemson Tigers men's soccer,25
List of Turkish football transfers summer 2013,78
List of Russian football transfers summer 2013,33
2013 FIFA Club World Cup squads,32
List of Bulgarian football transfers winter 2010–11,63
2007 CIS Men's Soccer Championship,21
2004–05 Fulham F.C. season,10
List of Macedonian football transfers winter 2014–15,28
List of Mexican football transfers summer 2012,18
List of Belgian football transfers winter 2013–14,30
1996–97 UE Lleida season,7
葉士域治2009年至2010年球季,43
2012–13 West Ham United F.C. season,48
List of Belgian football transfers winter 2013–14,78
List of German football transfers summer 2008,12
List of Serbian football transfers summer 2013,70
List of German football transfers summer 2010,24
List of Belgian football transfers summer 2010,10
1999–2000 Blackpool F.C. season,19
Akron Zips men's soccer,19
List of Greek football transfers summer 2010,27
List of Russian football transfers winter 2010–11,17
List of Club Universitario de Deportes players,10
2010 FIFA Club World Cup squads,18
UR La Louvière Centre,25
Akron Zips men's soccer,18
List of Cypriot football transfers winter 2013–14,40
List of Russian football transfers summer 2013,58
Convocazioni per la Coppa del mondo per club FIFA 2012,21
List of Belgian football transfers winter 2013–14,44
List of Azerbaijan football transfers summer 2011,91
FK Bratstvo Cijevna,14
List of Maltese football transfers summer 2010,64
Green Bay Phoenix men's soccer,21
List of Greek football transfers summer 2010,27
Elencos da Copa do Mundo de Clubes da FIFA de 2010,38
List of Slovak football transfers summer 2013,42
Convocazioni per la Coppa del mondo per club FIFA 2006,24
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,31
List of German football transfers summer 2010,16
List of South Korean football transfers winter 2011–12,5
List of Latvian football transfers summer 2013,13
2010–11 Club Atlas season,59
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,29
1996–97 UE Lleida season,6
List of Ukrainian football transfers summer 2009,73
List of Maltese football transfers summer 2013,14
List of Mexican football transfers summer 2012,33
UC Santa Barbara Gauchos men's soccer,24
List of Serbian football transfers summer 2012,33
2009 Carolina RailHawks FC season,26
List of Iranian football transfers summer 2012,27
