http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/areaLand
萊克斯維克,390803968
喬治亞州,146622740543
Евнакер,191200563
Montana,378265701768
Stafford County (Kansas),2151346315
Квитесэйд,625737061
Hrabstwo Finney,3337928226
Ringsaker,1105109035
バッファロー郡 (サウスダコタ州),1269224461
Flakstad,168840643
Vestre Toten,237611449
Hrabstwo Amite,1874690247
エドワーズ郡 (カンザス州),1596395236
"Лайон (округ, Кентукки)",560788805
Gjerstad,300213343
Flekkefjord,497419063
Namsos,763122794
"Baraga County, Michigan",2382745673
Маннар (округ),1818704149
Hrabstwo Boundary,3333300628
Gamvik (gemeente),1391498092
Hrabstwo Geary,983166287
Hrabstwo Buchanan (Missouri),1032143861
Contea di Bowman,2982038766
ベントン郡 (アーカンソー州),2266274477
Hemsedal (gemeente),675821967
Balestrand,418977055
Vadsø,1209983612
مقاطعة بالدوين (ألاباما),4197307458
Condado de Sheridan (Kansas),2280978959
Ерстад,307481649
Fusa,361885878
Skodje,115079474
Condado de Bexar,3185444264
Hrabstwo Bay (Floryda),2007105591
Condado de Anderson (Texas),2862026552
アダムズ郡 (ペンシルベニア州),1302277536
"Bø, Telemark",257930744
Selbu,1159192994
Согндал,739718316
Boone County (Arkansas),1588271151
Hrabstwo Travis,2621192771
德拉门,128427009
Lund (Norwegen),340532919
"Atlantic County, New Jersey",1502883907
布尤納維斯塔縣,1437845934
Crawford County (Kansas),1551859743
レーロース,1757334432
Kvænangen,2094128114
Condado de Haskell (Kansas),1453086830
Contea di Baker (Florida),1553175395
Condado de Bowie,2210826515
Comté d'Amelia,882775594
比爾縣 (德克薩斯州),3054876188
Condado de Butler (Missouri),1734909802
Contea di Morris (Kansas),1874992841
Aure,645563131
Breckinridge County,1471252890
Aurland,1314311442
Benson County,3452788321
Lesja,2269546616
Фитьяр,134270957
"De Baca County, New Mexico",6254368269
カラショーク,5238683190
Eidsvoll,380494892
Comté de Bond,969361523
布洛克县 (亚拉巴马州),1608497018
Comté d'Atoka,2546782698
Oklahoma,176340920069
Lurøy,259116554
"Anderson County, Kentucky",517660413
Nordkapp,876682811
Steigen,970964851
Condado de St. Clair (Alabama),1587320814
Hrabstwo Amelia,922676578
ポタワトミー郡 (カンザス州),2069884152
Hrabstwo Rawlins,2900089044
Kristiansund,84153539
ブキャナン郡 (ミズーリ州),1096247549
Comté de Benton (Washington),4548216174
"Benton County, Tennessee",997161347
"Адамс (округ, Айова)",1080810808
阿勒根縣,2110109410
Hrabstwo Burleson,1657929196
