http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEpisodes
Choudenshi Bioman,53
Burning Flame III,33
Latin Lover,63
Chōdenshi Bioman,52
Great Productions,38
Engine Sentai Go-onger,50
Dekaranger,52
Ohio Valley Wrestling,889
Tokusou Sentai Dekaranger,50
Friends and Crocodiles,1
Tensou Sentai Goseiger,48
猪仔馆人家,31
Engine Sentai Go-onger,48
Kaizoku Sentai Gokaiger,52
Prince of Lan Ling,45
天裝戰隊護星者,50
Chōdenshi Bioman,50
Zyuden Sentai Kyoryuger,49
上流俗女,14
Mahou Sentai Magiranger,47
Juken Sentai Gekiranger,51
魔法戰隊魔法連者,50
Ring Ka King,26
Juken Sentai Gekiranger,49
