http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
List of islands of the Faroe Islands,46341
Ilha Rogozen,0
Araara Island,0
Cayo Luis Peña,0
Ha'apai,6310
Mejit Island,314
La Graciosa,680
Ilha de Vassiliev,200791
Mosqueiro,26500
Остров Губернатора,496177
Urup (wyspa),0
パキン環礁,92
ブラチ島,14521
Anticosti Island,240
Kyushu,13196669
キングジョージ島,496
Nanumea-Atoll,551
Dia (wyspa),2
Spinalonga,0
Боа-Вишта (остров),8554
Yonaguni,1697
特瓜島,58
Ustica,1338
Wiencke Island,0
Pentecost Island,16531
ティエラ・デル・フエゴ,137635
Čiovo,5887
Линдисфарн,171
Rennell,1472
ラモトレック環礁,366
Saline Island,0
馬祖列島,12043
Ilhéu das Cabras,0
Rapa (île),522
Herschel Island,0
Ilhas Whitsunday,1610
Nukumanu,735
Мосо,228
Лошинь,9728
Tinian,3149
Сокорро (остров),47
Нанумеа,523
British Columbia Coast,4795
Ilhas Borromeu,212
Îles Ashmore-et-Cartier,0
Huahine,6535
Sulawesi,19222569
Denis Island,81
Isola di Fraser,203
Inisheer,251
Kangaroo Island,4286
Arutua (atoll),650
Cuttyhunk Island,52
Carriacou,8029
Anchor Island,0
Olib,134
Koiluoto,0
Caja de Muertos,0
Isla de Hawái,192588
Lyø,135
Ujelang,0
Réserve écologique des Gannet Islands,0
Grand Turk,3875
Зильт,21984
Prvić (Šibenik),384
Sicilia,5281828
Islas Daitō,2104
Lesbos,84198
Yonaguni,1637
Pampus,2
ムハッラク島,194570
Lanzarote,139059
Bengtskär,1
Tarout Island,80586
Галвестон (остров),49853
北海道,5144738
Isla de Santa Isabel,27386
Sardinien,1628231
Île de Marajó,256239
Dokos,18
Ushi Island,0
Île Sabine,0
Políegos,0
Matsu Islands,12728
Rennell,1457
Móchlos,0
Wyspy Nawietrzne,484941
Niihau,127
Grand Manan (village),2571
Archipel des Comores,945652
Cornwallis Island (Nunavut),218
圣安唐岛,43421
Ventotene,682
Lesbo,90234
Sipora,17613
Bare Island (Nieuw-Zeeland),0
Lombok,3198486
南安達曼島,218329
蘇門答臘,48628552
Carriacou,7865
