http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/areaTotal
Paro (unità periferica),240283067
Karpathos (district régional),338839746
Unidad periférica de Piería,1429489936
Elide (unità periferica),2682238092
Jednostka regionalna Wyspy,902035963
Jednostka regionalna Kozani,3194842010
Milos (unidade regional),401580518
Pieria (unità periferica),1632094814
Unidad periférica de Eubea,4083153410
Etolia-Acarnania,5696158942
Rodopi (Regionalbezirk),2739342317
Béotie,3273216624
Kilkis (regionale eenheid),2482917206
Corinthia,2313656625
Jednostka regionalna Pella,2430798937
Thesprotia,1456093387
西雅典,68010258
Jednostka regionalna Korfu,630786542
干尼亞州,2348585831
Heraclião (unidade regional),2469891897
Jednostka regionalna Rodos,1593246389
Atenas Septentrional,153091605
Jednostka regionalna Heraklion,2516871258
Unidad periférica de Islas,856712789
Kilkis (unità periferica),2541472602
Салоники (ном),4158221106
Imathia,1620640021
