http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/areaLand
布朗特县 (田纳西州),1549676321
Forsand,726552425
Etne,743028408
Mandal (gemeente),229936976
Seljord,673715726
阿瑟縣 (內布拉斯加州),1840751897
Utsira,5597090
Levanger (gemeente),621742443
Agdenes,287493376
Apache County,27245688019
伯姆盧,206966704
"Бентон (округ, Вашингтон)",4314436328
Kalutara (district),1720122952
Kalutara District,1722490126
Ottawa County (Ohio),579819210
Montreal (Agglomeration),515554052
Miami County (Kansas),1550195981
Paróquia de Allen,1818562739
Condado de Archer,2152696395
Bamberg County,989226744
Aure (Norvegia),549010863
Condado de Brookings,2252392199
ハッセル (ノルウェー),564855507
Contea di Labette,1564118786
Brown County (Kansas),1492742324
安德魯縣 (密蘇里州),1228953557
Condado de Hamilton (Kansas),2486638514
Randaberg,26418043
Contea di Mitchell (Kansas),1808290984
"Барага (округ, Мичиган)",2252649612
Benton County (Washington),4440498965
スタッフォード郡 (カンザス州),2119327462
مقاطعة واشنطون (كانساس),2246576501
Califórnia,440277139054
Modalen,359844730
Ульвик,680962580
桑内斯,282058739
مقاطعة برليسون (تكساس),1721048867
"Atkinson County, Georgia",898747014
مقاطعة لين (كانساس),1848815709
Karlsøy,1058469001
داكوتا الجنوبية,193488967116
Jondal,230453388
Bledsoe County,1038247016
Blue Earth County,2170557241
Comté de Blair,1223336330
哈德瑟爾,603922893
Ford County (Kansas),2803757457
オールバニ郡 (ワイオミング州),12346946393
Tana (Noruega),4252202068
俄亥俄州,101977356410
Horten,60083650
ゴーヴ郡 (カンザス州),2821501216
Austrheim,64880058
Condado de Bay (Florida),2065181342
Nueva Jersey,17022755683
Midtre Gauldal,1877570641
"Беркли (округ, Южная Каролина)",2699416352
Hrabstwo Black Hawk,1422971893
Huron County (Michigan),2110736712
Condado de Allen (Kansas),1246663337
Årdal,842022905
Hrabstwo Brazoria,3796259121
Vågsøy,154607966
海姆內斯,1549976688
مقاطعة بوند (إلينوي),942362786
Nordre Land,1004524794
Викна,289426751
利勒哈默尔,464930105
ラルヴィク,480714387
Sør-Varanger,3469503806
"Alexander County, Illinois",642502106
Benton County (Minnesota),1076679303
ブラウント郡 (テネシー州),1354930085
"Baker County, Oregon",7781201992
Bas-Saint-Laurent,23317576482
Agglomération de Montréal,529511324
مقاطعة بلايني (أيداهو),6382996430
巴特勒縣 (內布拉斯加州),1361530961
アリゲイニー郡 (ノースカロライナ州),573137790
Comté de Burnet,2447213636
Verdal,1673690394
Нес (Бускеруд),735476367
Condado de Alleghany (Virgínia),1252096822
Balestrand,371213792
Bas-Saint-Laurent,23252715130
Forsand,699570293
Melhus,615043421
مقاطعة بارو (جورجيا),421940549
ハンメルフェスト,894270332
ブリスコ郡 (テキサス州),2413283609
Connecticut,13974112296
"Бекер (округ, Миннесота)",3300911598
Hrabstwo Boone (Iowa),1595162911
Comté de Clay (Kansas),1672891223
Condado de Bennington,1650080416
Svelvik,52560130
سيلبو,1062231747
Condado de Rooks,2227111446
Hrabstwo Baxter,1384409926
Condado de Benton (Arkansas),2493189884
アンドロスコッギン郡 (メイン州),1331851881
"Каули (округ, Канзас)",2833694076
Capitale-Nationale,20763011051
Contea di Cherokee (Kansas),1672485391
アーチャー郡 (テキサス州),2197308594
Comté de Sheridan (Kansas),2485551363
"Блэнд (округ, Виргиния)",990246899
Luizjana,111591516228
Rendalen,2979679599
Rana (Nordland),3909270998
Masfjorden,522953178
Sør-Varanger,3647807731
Ørsta,755902871
Nesset,957937283
Comté d'Arapahoe,2095739082
バーリン郡 (ジョージア州),1173513041
"Брадфорд (округ, Флорида)",777438850
Alcona County,1631622314
Sørfold,1466343690
"Bourbon County, Kentucky",768184985
Comté d'Adams (Colorado),2828555549
Hrabstwo Bryan (Oklahoma),2224178490
Hrabstwo Alexander (Illinois),588530896
Montana (staat),341041441450
Винье,2593176836
Trysil,3050272386
Hrabstwo Thomas (Kansas),2598531678
Beckham County,2311826637
Allamakee County,1525110609
Løten,367781278
"Хеттингер (округ, Северная Дакота)",2673276212
Condado de Elko,43739861281
"Бё (коммуна, Телемарк)",239782884
布洛克县 (佐治亚州),1841335624
拉什縣 (堪薩斯州),1764237226
Тиме (Норвегия),178052382
Comté de Bergen,562056136
Arenac County,948802723
"Brown County, Texas",2228906269
斯泰恩谢尔,1413319807
"Bedford County, Tennessee",1272060763
Condado de Brazoria,3864910444
ボリバー郡 (ミシシッピ州),2365375980
切羅基縣 (堪薩斯州),1652008103
Montgomery County (Kansas),1498914602
Froland (gemeente),643835208
Bernalillo County,3179148377
斯韋奧,207931596
"Box Elder County, Utah",14199704748
Comté de Brooks (Texas),2240828699
ハミルトン郡 (カンザス州),2708181163
Ос (коммуна),91765868
Lyngen (gemeente),761090611
مين,90643615775
"Bø, Nordland",259436754
Condado de Buffalo (Dakota do Sul),1239033875
Йёвик,578662025
Søndre Land,701534775
Hrabstwo Nassau (Nowy Jork),800725429
Bennett County,3444952888
葛蘭姆縣 (堪薩斯州),2343331440
阿利根尼縣 (賓夕法尼亞州),1894247350
Eidsvoll,397831905
Våler (Hedmark),722782612
Калутара (округ),1654626265
Hrabstwo Augusta,2363328398
"Bell County, Texas",2629176671
Ellsworth County,1935301908
Condado de Bradley (Arkansas),1573223322
"Одрейн (округ, Миссури)",1793147631
Øygarden,68418151
مقاطعة أنوكا (مينيسوتا),1089970327
Hrabstwo Anderson (Kansas),1572129546
ニュージャージー州,21172969531
リパブリック郡 (カンザス州),1892673456
敘拉,54094102
ベイフィールド郡 (ウィスコンシン州),3849882388
Condado de Morris (Kansas),1831169648
Vanylven,360557438
"Bolivar County, Mississippi",2278124606
Vindafjord,619433234
مقاطعة آدامز (كولورادو),2931231755
Wayne County (Pennsylvania),1772785123
Contea di Alpena,1471119817
Contea di Bedford (Virginia),2077324608
Rissa (Norvège),612295185
Herøy (Nordland),59929927
Contea di Adams (Mississippi),1220886000
California,407583832314
Gamvik,1335924642
ベントン郡 (テネシー州),1103093211
Marnardal,366467047
班納縣 (內布拉斯加州),2089568515
托馬斯縣 (堪薩斯州),2647049200
Condado de Bell (Kentucky),830082205
"Belknap County, New Hampshire",1079173799
Ås (Noruega),105113410
Hrabstwo Baker (Georgia),827842618
"Атала (округ, Миссисипи)",1789517900
Hrabstwo Boone (Wirginia Zachodnia),1295363728
Comté de Cheyenne (Kansas),2459866443
バクスター郡 (アーカンソー州),1543080451
Adair County (Missouri),1441286500
Carter County (Tennessee),893667222
Røyken,111199085
