http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/areaTotal
Море Бофорта,158995118222
Ирландское море,47241975489
地中海,2519437240667
Mar de Azov,40353487130
エーゲ海,203375174908
Mar Báltico,397206974339
Lincolnzee,61621936717
Noordzee,564021180123
البحر الأيرلندي,45388110011
Grönlandsee,1355404912058
Гренландское море,1261062366554
瀨戶內海,24035411500
Europäisches Nordmeer,1208295697438
Mare di Groenlandia,1356251842159
安达曼海,630480787072
بحر آزوف,38639696385
Beaufortsee,171049870459
Mar Nero,399843640296
بحر تشوكشي,596086956762
Mare del Labrador,763947255992
