http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/squadNumber
Al Sadd Handball Team,33
Shabab Al-Bireh Institute,20
BM Ciudad Real,20
FIU Panthers men's soccer,26
SDC San Antonio,13
Charlotte 49ers men's soccer,9
Lekhwiya SC (handball),6
Ghazir Volleyball,5
Radford Highlanders women's soccer,5
Markaz Balata,4
Syracuse Orange men's soccer,0
Cincinnati Kids,16
Yayasan Negeri Sembilan HC,23
Al Rayyan Handball Team,5
Equipo de fútbol masculino de la Universidad de San Luis,24
Al Sadd Handball Team,3
E.I.S. Men's Volleyball,23
FIU Panthers men's soccer,4
SDC San Antonio,8
Sociedad Deportiva Cultural San Antonio,5
Al Sadd Handball Team,72
FIU Panthers men's soccer,30
Tulsa Golden Hurricane men's soccer,3
SDC San Antonio,17
Plataneros de Corozal,4
Radford Highlanders men's soccer,28
FIU Panthers men's soccer,5
Tulsa Golden Hurricane men's soccer,8
FIU Panthers men's soccer,7
Sapura HC,1
Al-Rayan SC Handball Team,27
FIU Panthers men's soccer,17
Charlotte 49ers men's soccer,10
Maybank HC,11
Al Sadd Handball Team,90
SDC San Antonio,16
Портланд Сан Антонио,4
Shabab Al-Bireh Institute,7
2013 NSCAA Men's Soccer All-Americans,6
SDC San Antonio,15
Ignition de Détroit,83
Laguna F.C.,14
VCU Rams men's soccer,21
Detroit Ignition,6
SDC San Antonio,18
Equipo de fútbol masculino de la Universidad de San Luis,12
Radford Highlanders women's soccer,22
BM Ciudad Real,14
Club Balonmano Ciudad Real,7
2013 NSCAA Men's Soccer All-Americans,1
Club Balonmano Ciudad Real,2
Plataneros de Corozal,10
Портланд Сан Антонио,15
Club Balonmano Ciudad Real,18
Yayasan Negeri Sembilan HC,15
