http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Bauhaus-Universität Weimar,4284
St. John's College High School,1184
Los Angeles Valley College,20081
Derry Township School District,3322
"Pacific High School (North Highlands, California)",2457
Helix High School,2400
Koninklijke Academie van Beeldende Kunsten,914
Università Tecnica di Lisbona,23740
Harvard Graduate School of Design,965
Université de Deusto,2115
Busan Foreign School,70
Portland Christian Junior/Senior High School,380
Université du Monténégro,22338
Supinfo,6331
Dixie State University,8782
Universiteit van Göteborg,33312
Sullivan East High School,765
North Shore Country Day School,479
Edgewood Academy,311
Alexandru Ioan Cuza University,26152
"Campion School, Mumbai",793
Middletown High School (Maryland),1273
Far Hills Country Day School,414
Neshaminy High School,2750
Universidade de Indiana,105926
Twin Rivers Unified School District,25545
Miami Dade College,171117
Уральский государственный архитектурно-художественный университет,2257
Universität Suceava,10475
Greensward Academy,1564
Universität Petru Maior,4054
Central University of Technology,11985
Walter Sisulu-universiteit,23325
Cypress Falls High School,3962
Universidad de Acadia,4171
Universidad de Montenegro,20311
Greater Latrobe School District,3687
Thunder Mountain High School,652
Université de Paris X,29817
Lindsay Road National School,57
Falls City High School (Oregon),65
Hartsville High School,1172
Tulse Hill School,0
"Riverside High School (Lake County, Ohio)",1218
Jonesboro High School (Arkansas),1084
Burlington High School (Wisconsin),1301
Salem Academy Christian Schools,777
Katimavik Elementary School,643
Minneapolis Community and Technical College,15357
Universität für Finanz- und Wirtschaftswissenschaften Nordostchinas,19997
Lower Merion High School,1444
Fayetteville-Manlius Central School District,1416
Testbourne Community School,830
Agartala Government Medical College,455
Burris Laboratory School,675
Northwest Pennsylvania Collegiate Academy,933
Université de Wakayama,4556
University of Kinshasa,26776
Accra Academy,2215
Università della Slesia,44592
Sullivan County School District,654
Università di Montpellier,45227
Adelante High School,915
Pendekanti Law College,752
Cumnor House School,293
"Bonneville High School (Washington Terrace, Utah)",1372
Nome-Beltz Junior/Senior High School,329
Stanford University,15076
McIntosh High School,1500
National University of San Luis,14082
Universidad de Colombo,10109
Lancaster Girls' Grammar School,911
Central University of Technology,13783
South African College Schools,723
Белорусский государственный университет,42368
Augustana-Hochschule Neuendettelsau,205
Nationale Universität Krywyj Rih,19595
Riverside Beaver County School District,1485
Université de médecine et pharmacie Grigore T. Popa,12182
Thurston High School,1709
Universiteit Luxemburg,5771
Sentinel Secondary School,1112
Montebello High School,2988
