http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Joy Global,12489
Emtec Magnetics,146
Ökologierechtszentrum Bellona,17
Drew & Napier,475
MIPS Technologies,152
Euskaltel,382
Neato Robotics,65
Unique Development Studios,32
TOSE,880
T-Mobile (États-Unis),53024
Anritsu,3692
Energizer Holdings,5232
Xerox Corporation,142401
Conestoga-Rovers & Associates,2969
CMA CGM,21509
Rovi Corporation,1735
OTP Group,33469
Facebook,15534
Chess Communication,54
Wikispaces,10
51 Minds Entertainment,194
Yves Rocher (koncern),13336
SCEベンドスタジオ,102
マズバズ,111
Bomis (website),9
Juicy Couture,151
هاريس التفاعلي,700
Time Inc.,7064
Fielmann,16475
Aston Martin,1240
STX Europe,15258
PrivatBank,0
Realogy,11824
Coleco,518
Patheon,7708
トランスメタ,25
TV3 Group,224
BancorpSouth,3423
K-Electric,12064
Netflix,3146
Pinnacle Entertainment,15797
Webhelp,23158
Pennon Group,4604
デビアス,20404
Groupon,10229
Disqus,61
Honda,196906
Banca Monte dei Paschi di Siena,27674
Ascom,1845
Piedmont Airlines (1993),5474
SMW-AUTOBLOK,507
Bigpoint,872
Telefónica,115896
Gadiv Petrochemical Industries,96
Lifestyle Lift,99
Wyndham Worldwide,35037
Iron Mountain Incorporated,19424
Ports 1961,4823
Mobility Carsharing,174
إيه أو إل,5393
香港中華ガス,2062
OCZ,559
TreeHouse Foods,1068
HSBC Bank (Brazil),27076
شيرينغ أيه جي,26639
Honda,218960
Bwin,1542
Tidewater,8477
Milestone (Unternehmen),15
Hutchison Whampoa,273031
Robinson Helicopter,1255
Baldor Electric Company,7969
Arrium,10288
CTL Logistics,2739
Deneys Reitz Inc,515
Média-Participations,855
Keimfarben,481
Bomis,9
Groupon,9471
BKW FMB Energie,2555
Banco de Venezuela,4041
Salsa Tabasco,193
The Mosaic Company,7930
Open Cascade,127
ニュースキン,4821
Graco,3043
Steve Jackson Games,44
Mainichi Broadcasting System,689
Venchi,56
Plenty Of Fish,68
Digital Realty,896
Tod's,2693
Dacia,14484
Ingredion,10021
شوغاكوكان,832
VTB,89
ディーン・マークレイ,18
Dean Markley USA,22
ALOE Systems,114
Rado (watchmaker),438
Kamensk-Uralsky Metallurgical Works,4215
Acushnet Company,3133
Haba (Spielwarenhersteller),1716
KLM Royal Dutch Airlines,35592
AVG Technologies,2049
أودي,82215
Centennial Communications,3275
