http://dbpedia.org/ontology/Train,http://dbpedia.org/ontology/weight
Schienenzeppelin,22219926
Shinkansen E5,407537170
FS ALe 801 und ALe 940,70924353
TMK 101,14816488
Electroliner,91549906
Locomotiva DB 401,50489900
R62A (New York City Subway car),31775563
Stadler Dosto,264569047
Britische Klasse 395,281389232
NSB Class 83,37488677
JR Shikoku 1000 series,31220561
Séries N700 - Shinkansen,792026564
Taipei Metro C341,42949589
ETR 490,157502030
Treno Servizio Regionale,53191440
Sydney O-Class Tram,18866277
KiHa 11,26890866
Amfleet,48303823
Škoda 14 T,36833702
RENFE serie 490,168835876
C3 (railcar),64808809
Britische Klasse 185,160300881
R8A (New York City Subway car),26578872
CAF Urbos,38006222
ETR 470,750679945
Autorail AR41,88053067
FS ALe 724,57895862
ETR 600,402067678
X40,141221205
HHA Typ DT1,45277193
V250 (train),429856934
VR Class Dm11,45684858
R7 (New York City Subway car),35754104
207 series (JR East),277283568
British Rail Class 153,42115829
Acela Express,575298254
ICE 3,418661569
Kintetsu 23000 series,215345203
ČSD-Baureihe M 152.0,21477787
Elettrotreno DB 422,115144062
Tram ATM serie 4600 e 4700,26667865
British Rail Class 438,32242450
Budd Rail Diesel Car (RDC),50017224
British Rail Class 395,273373082
SJ X2,77334990
法國國鐵TGV Duplex列車,402782180
British Rail Class 175,103144270
British Rail Class 142,51855692
西班牙国铁100型电力动车组,403748775
KiHa 160,31597309
JR四国1000形気動車,28572709
スーパーライナー (客車),63453489
NZR RM class (Silver Fern),102195351
DB Class 614,140611244
ETR 200,120904710
スイス国鉄RABDe510形電車,161752917
ATM Class 4900,31315854
Alfa Pendular,319238666
FS Class ALe 724,51524394
SL X60,211486535
TGV 2N2,393507560
SL X10,88649955
Keikyu 1000 series,32221821
2000 class railcar,67634705
ICE-2列車,444853469
ETR 600,394405466
Automotrice RhB ABe 4/4 III,43489462
RhB ABe 4/4 (Stammnetz),34624729
ICE 3,437158436
TS Class 3,11285355
RŽD-Baureihe ЭС1,258805817
Рельсовый Цеппелин,19071409
