http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/populationTotal
Malte,437920
Catar,2319564
格鲁吉亚,3686090
Papúa Nueva Guinea,6616644
Kuwait,4650916
ليسوتو,2031314
سوريا,16118590
パナマ,3774723
オマーン,4294550
Республика Конго,4888332
Irak,38619110
利比里亚,4929027
エストニア,1233496
Papua-Neuguinea,6386989
Tayikistán,9092982
Chipre,1214558
Katar,2236465
Camboya,14747340
Niue,1196
キルギス,6659807
中非共和國,4515377
Ilhas Marshall,72765
Togo,6970347
Zweden,10458588
Antigua e Barbuda,79683
Egipto,80016
توغو,7453035
Kuwait,4446056
肯尼亚,49133239
Vietnam,86172537
トーゴ,6746318
Egypt,78701
アルバニア,3058450
キプロス,1102466
卢森堡,526665
Niue,1253
Republic of the Congo,4786937
Georgia (country),3665297
Chile,16993632
Guinea,9137498
パキスタン,190827821
クウェート,3875018
Kolumbia,47354092
India,1238775574
التشيك,11243974
Saint Kitts e Nevis,52638
Salomonseilanden,520188
科威特,4107658
غينيا الاستوائية,1284552
マルタ,433543
Solomon Islands,513791
Lesotho,2304457
Equatorial Guinea,1239004
Togo,7718559
Кения,48133994
Senegal,12216647
Кабо-Верде,522671
Cambodge,14123329
República del Congo,4758441
