http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
Thirupuvanam,15870
Komeh,2506
General Roca (Río Negro),79814
Khowai,21672
Rożyszcze,13189
General Alvear (Mendoza),31868
Kaptanganj,11640
Staré Hobzí,620
古拉奥蒂,46595
海法,285096
Starokostiantyniv,34865
Bhawana,56786
Acatic,17367
يونزين (ناغاساكي),44353
Juchitlán,5787
Shergarh (Uttar Pradesh),12524
蟹田町,3774
Baruipur,54145
Vadia,4686
Gurgaon Rural,15856
Maudaha,38757
Udajpur,491236
North Dumdum,212938
Ambaliyasan,7280
Pinjore,37855
帕德马普尔,18338
Taixing,1172497
Гадяч,22615
Tsuchiura,132006
Vikasnagar,12106
Cruz (Ceará),20820
Hashtpar,58295
Graneros,29989
Naushehra,9375
Tanakpur,40701
Deoranian,18782
Taixing,1152902
Hlobyne,9973
Chiknayakanhalli,24639
阿久瓦,15261
Brianka,48954
Malekan,26249
Nakhon Sawan,102012
Leova,11009
Sanmu,58627
Valle de Juárez,5487
Zibashahr,8894
马赫罗尼,9140
Хеврон,243126
Khera Khurd,7860
Ipiales,110200
Mixtlán,3068
Cupcini,8382
Haaren (Aachen),12648
Charata,25338
Okayama (cidade),656989
Rapar,53746
Xianning,2997096
Khamaria,30380
Mahudha,13743
Sangli-Miraj-Kupwad,498185
Honiara,70318
Kondor,5672
Fariha,6382
南丹市,34400
"St. Anthony, Minnesota",8557
Ayagawa,22256
كلاته خيج,5672
"Tachikawa, Tokyo",199011
Tindwari,9079
Naqneh,7713
Gomishan,13780
Patnagarh,23985
فوينتي أوبيخونا (قرطبة),4933
Chibougamau,7899
Vazvan,5158
Mitoyo,73281
Khaliapali,5344
Tangerang do Sul,1323850
Assandh,23387
Prévost (Quebec),13121
Aizuwakamatsu,132954
إميزو (توياما),95266
オッペアーノ,8228
萨拉曼卡,208316
Куч-Бихар,113442
Kothnur,20531
Imizu,81989
"Usuda, Nagano",16813
作手村,3039
Tilpat,5961
Lauthaha,7501
Tabacundo,6036
Kuszk (Isfahan),11598
Imabari (Ehime),162951
Dalkhola,67681
Салехабад (Хамадан),7761
Chakhtarsk,46317
"Nagano, Nagano",380622
ناها (أوكيناوا),327394
حويق,1228
محمديه (قزوين),40751
貝爾加拉 (烏拉圭),3982
Kodigenahalli,13653
Cachi (Salta),2126
卡洛斯帕斯鎮,66124
Sangar,6262
Турсунзаде,34501
Avola,28745
Hebron,241539
فيلنوهيرسك,23608
布德沃爾,115308
Удайпур,503931
Fatehpur Chaurasi,5128
Battambang,132721
Hebron (Palestina),213057
Barhalganj,132042
Acatic,17806
Tumaco,191558
Valle del Zalabí,2593
Kheralu,19987
佩烏莫,15249
奥尔萨拉迪普利亚,3470
Ramallah,28093
Sancoale,14576
ルサカ,1895790
Caivano,33629
"Ranipur, Uttarakhand",42027
Уаско,9910
"Eshqabad, Razavi Khorasan",1340
"Kuroshio, Kōchi",13361
桐生市,104695
Akhnoor,10598
Taixing,1040505
Shizuoka,642881
Ghatampur,34997
Garian,207286
كوماغايا (سايتاما),203299
Sefid Dasht,5550
Raipur Rani,7922
Qeydar,30197
Koch Bihar (Stadt),116940
Hōfu,120427
Florestal,6052
Сейдун,6254
Ōsaki,131595
Petare,351205
Maham,19386
Ishigaki,47723
هشجين,5067
Dhahran,136452
Manikpur Sarhat,14570
Tsukubamirai,55205
Runiz,5814
Duyun,504371
Carutapera,20358
Makarba,16584
Chhota Udaipur,29519
Villamanrique de la Condesa,3914
Bajva,8629
Kutiyana,15224
Nai Bazar,11886
Khorramabad (Mazandaran),9871
Kerakat,15029
Curitibanos,36729
صفرو,62027
Taixing,995884
"Shady Cove, Oregon",2962
Farooqnagar,37052
Matsue,188107
Dubai International City,117735
Kela Chay,11550
Bandar-e Genawe,60763
Loudi,3755822
Sundargarh,48059
Qal'eh-ye Tol,9205
Kurgunta,8352
Xinle,450721
"Hagerstown, Maryland",40937
Témara,307805
"Matamoros, Coahuila",51642
Naraingarh,32395
维贾耶普拉,33879
Черноморск (город),57072
Loudi,3704834
蘇菲安,8629
"Bromont, Quebec",7125
Rudrapur,1306230
Rafah,165141
Mahuvar,10090
三豐市,65985
Сигуатепеке,80152
Nowodnistrowsk,11638
Cheeka,43217
Rampur Maniharan,25289
"Florești, Moldova",16143
巴加特迪,34239
Lianyuan,1112412
Kanchrapara,116213
科迪盖纳哈尔利,11900
Shirvan (Iran),87703
Adjohoun,59056
"Tempoal de Sánchez, Veracruz",11569
Umarkhed,50854
Lasht-e Nesha,11408
Буский повят,74017
Acarigua,192067
Forbesganj,51310
科利科,8
Niyodogawa,7351
Santo Domingo (Equador),484158
梅格拉杰,11647
Araioses,38176
"Sirsi, Karnataka",67982
Kanodar,10794
Chornomorsk,64277
霍尼亚拉,59273
立川市,183430
Jingjiang,625228
Paine (Chile),47253
ゴロンタロ,181772
Chanasma,17117
Gohana,70880
San Ramón de la Nueva Orán,88312
Calapor,10473
Harij,18703
Bhawanipatna,88584
"Kotwa, India",12405
Hodal,69745
Мачали,45508
Dingzhou,1232719
Carrión de los Céspedes,2455
Bolechów (miasto),21383
米爾諾格勒,49915
Verjnodniprovsk,17000
香南市,36055
Thaltej,46887
Abdan,5749
Mataundh,7650
恰莫利戈佩斯赫瓦尔,91715
アルコルコン,177068
Huadian,464467
拉迈,4025
Lakarka,6299
Lathikata,6468
Агрестина,23974
Umarkhed,44173
Chamgardan,15399
Керенд-э-Герб,7859
Atotonilco El Alto,49875
Azizpur,9265
Villarrobledo,28990
库马尔加特,14853
Daye,788667
Takaoka,196672
Sefrou,57734
Rohraband,4395
Lauthaha,7867
Al Amarat,68207
Omitama,48412
Ipiales,137373
Jalostotitlán,78837
Gharyan,175141
Ranavav,48067
巴苏德布普尔,215277
Kitahiroshima,56164
Vachkivtsi,5549
Villa Purificación,9668
Ausa (città),235601
Kazlų Rūda (plaats),7340
加劳恩达,29799
Dharoti Khurd,36331
Itaituba,95182
贾夫拉巴德,26128
Tempoal de Sánchez,11765
Tchoust,69359
Guirim,6147
Sasauli,13871
Osaki,151978
Neem-Ka-Thana,79163
Huejuquilla el Alto,7202
قرة آغاج,3687
Barwadih,7750
واكاياما (واكاياما),366892
Daveluyville,926
Khariar,15226
Matamoros (Coahuila),46387
Al-Aghwat,123580
法泰赫普尔乔拉西,5867
迪格维贾伊格拉姆,9446
Makhdumpur,32130
Hagerstown (Maryland),37041
Maharajganj (hoofdstad),23858
"Bhadravati, Maharashtra",61439
Gorontalo (ville),177920
鲁拉,14983
فياروبليدو,26427
Madhogarh,55542
卡內魯將軍鎮 (巴拉那州),12250
Municipio de Tolimán (Jalisco),9248
Dastjerd,6943
Alcaudete,12693
Ajhuwa,14915
"Jainagar, Bihar",32672
Belalcázar (Cordoue),2632
Torban (Khetri Leikai),4807
木曽町,14529
Sualkuchi,12732
نخل (مصر),11953
"Chattahoochee Hills, Georgia",2684
Fuente Obejuna,4971
Ciudad López Mateos,486162
Dharmanagar,50494
大津市,350828
Amvrosiivka,21428
صفي أباد (خراسان),3351
Catió,8958
San Ramón de la Nueva Orán,79519
Suzano,253798
Juchitlán,5046
Andahuaylas,34314
洛塔 (智利),45208
Iwakuni,135842
Khrew,16372
Guadalcázar (Córdoba),1540
كوشك (إصفهان),10588
Chaklasi,35672
جنوب تانغيرانغ,1389416
Ayagawa,26388
Venturosa,17420
Gajraula,60469
Kumagaya,202594
Naha (Okinawa),322800
Anbar Olum,6273
チャラタ,26026
ホニアラ,61945
Bagh-e Bahadoran,9221
Tetyjów,14972
Kirovs'k,27065
Molina (Curicó),40550
Pipiganj,10678
Bagasara,30623
Kawardha,50940
Самбалпур,324099
Powiat de Busko,71759
Nasukarasuyama,28599
نافتش,3741
Petare,368322
Mingora,229106
北卡拉斯,6994
塔爾塔爾,10430
Nayagarh,18622
ورزقان,3681
Chirkunda,48153
Khordha,115377
Ataq,33766
Sewastopol,391102
Abadeh Tashk,6525
Vahdattiyeh,11321
ايواوغلي,3313
Pervomaïsk (oblast de Mykolaïv),58024
