http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
The Green School,935
Africa University,1210
Walter Sisulu-universiteit,21328
Annandale High School,2140
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,2049
Central Maine Community College,2636
West Greene School District,798
清泉インターナショナルスクール,745
Litherland High School,799
Shanghai University of International Business and Economics,10470
Universiteit van Malta,11724
"SMK St. Francis Convent (M), Kota Kinabalu",862
Saugus High School (California),2404
Université de Karachi,99719
IE ビジネススクール,1950
Alpena High School (Arkansas),241
College Zarządzania - Studia Akademickie,11900
École des Hautes Études en Sciences Sociales,3082
Universidad de St. Francis,3200
Azerbaijan Medical University,8345
川北医学院,10148
Augustana-Hochschule Neuendettelsau,220
旁遮普大学,44094
جامعة دركسل,25436
Sint-Maartenscollege (Maastricht),1448
Cambria Heights School District,1481
Skaneateles High School,541
Harvard Business School,1942
Cardinal Newman Catholic School and Community College,1283
Georgia Institute of Technology,25585
Präfekturuniversität Hyōgo,6090
Kings Manor Community College,1375
"University of Applied Sciences, Mainz",4943
Narodowy Uniwersytet Uzbekistanu,10118
High School of Fashion Industries,1796
EM Lyon,3273
"Mount Vernon High School (Fortville, Indiana)",1177
University of Malta,11152
Walnut High School,2633
Université Petre Andrei,2439
North Miami High School,2857
Union High School (Oregon),233
Mitchell County High School,498
Universidad Estatal de Arizona,50276
克兰纳特管理学院,3484
College of DuPage,28909
Northeast Metropolitan Regional Vocational High School,1229
Universiteit van Lund,39410
Escuela Preparatoria Sterling (Houston),1107
المدرسة الأمريكية الدولية في أبو ظبي,1288
Abbots Bromley School,168
Uniwersytet Komeńskiego w Bratysławie,25388
South Essex College,10956
Ohio State University,56311
Universidad Purdue,40458
Fort Collins High School,1623
Université d'Évry-Val-d'Essonne,10562
カウナス工科大学,10798
Universidad Federal de Santa María,27057
Blackhawk School District,2633
University Centre in Svalbard,480
Czech Technical University in Prague,23020
Windesheim (onderwijsinstelling),21751
Le Cordon Bleu,19593
Бернский университет,17670
Gadsden City High School,1394
Cabrini High School (Michigan),437
Universidad de Lyon I - Claude Bernard,35895
Waipahu High School,2568
Towers Convent School,331
Tuen Mun Government Secondary School,1189
Шаттак Сент-Мари,486
Xavier School,3908
Universidad de Bulacán,28765
Libera Università Maria Ss. Assunta,8
"Lawrence School (Sagamore Hills, Ohio)",299
Buckeye Local School District (Jefferson County),2262
Instituto Real de Tecnologia,14307
Universität Teramo,9784
Tawrijski Uniwersytet Narodowy im. Władimira Wiernadskiego,17449
Charlotte Latin School,1387
Mar Athanasius Memorial Higher Secondary School,1516
Stockton Collegiate International Schools,880
Barr-Reeve Junior-Senior High School,308
Palatine High School,2803
Jay County High School,1063
安徽医科大学,18939
Portland Christian Junior/Senior High School,383
St. Francis' College,2866
Burris Laboratory School,623
Université de Niš,27147
Cushing Academy,384
Conservatorio de Maastricht,601
Universidad de las Ryūkyūs,8304
German European School Singapore,1428
Canon-McMillan School District,4962
Boyd-Buchanan School,854
龍谷大學,19989
"Unity High School (Tolono, Illinois)",480
Homer-Center School District,992
Pine Technical College,1236
Pu-Men High School,1013
جامعة جبل سانت فنسنت,4074
Technische Universität Bergakademie Freiberg,4776
Briarcliff High School,586
Bolivarian University of Venezuela,180704
Northwestern School District,1609
Slovak University of Technology in Bratislava,18758
Gulf Islands Secondary School,654
Llantarnam School,1429
Arcadia High School (Wisconsin),364
Academia de Bellas Artes Nanyang,2438
جامعة تاراس شفتشينكو الوطنية في كييف,19898
St. John's School (Texas),1371
湖南中医薬大学,3
Universität Fukushima,4422
"Heritage High School (Brentwood, California)",2677
Alleyn's School,1278
Clements High School,2670
De La Salle Collegiate High School,819
Università americana in Afghanistan,1147
Sistema de Ensino Superior do Estado da Pensilvânia,107699
Assisi Vidyaniketan,2086
マッコーリー大学,40091
