http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/squadNumber
Sapura HC,2
UST Growling Tigers,17
Penn State Nittany Lions men's soccer,15
SDC San Antonio,9
Sapura HC,19
Tulsa Golden Hurricane men's soccer,23
BM Ciudad Real,1
Maybank HC,19
Charlotte 49ers men's soccer,18
Charlotte 49ers men's soccer,22
Radford Highlanders women's soccer,26
Saint Louis Billikens men's soccer,26
Club Balonmano Ciudad Real,6
Sapura HC,8
UniKL HC,13
VCU Rams women's soccer,12
Plataneros de Corozal,6
Club Balonmano Ciudad Real,10
Ignition de Détroit,19
Al Rayyan Handball Team,3
SDC San Antonio,3
Plataneros de Corozal,11
Charlotte 49ers men's soccer,23
Markaz Balata,7
Shabab Al-Bireh Institute,10
UST Growling Tigers,5
Syracuse Orange men's soccer,2
Al Sadd Handball Team,101
Al Rayyan Handball Team,1
Charlotte 49ers men's soccer,2
Sociedad Deportiva Cultural San Antonio,14
Penn State Nittany Lions men's soccer,27
Laguna F.C.,18
Портланд Сан Антонио,11
Akron Zips men's soccer,7
Al Rayyan Handball Team,7
BM Ciudad Real,12
Ghazir Volleyball,18
SDC San Antonio,16
VCU Rams men's soccer,33
Plataneros de Corozal,11
Al-Sadd Sports Club Handball,30
Al Sadd Handball Team,21
Sapura HC,22
Detroit Ignition,92
BM Ciudad Real,3
Laguna F.C.,1
SDC San Antonio,9
Al Sadd Handball Team,18
Minija Kretinga,18
Lekhwiya SC (handball),2
BM Ciudad Real,19
Tulsa Golden Hurricane men's soccer,3
Al Rayyan Handball Team,28
Al Sadd Handball Team,14
Ignition de Détroit,10
"Al-Arabi (Saudi Arabia, handball club)",3
SDC San Antonio,13
SDC San Antonio,2
BM Ciudad Real,8
Syracuse Orange men's soccer,11
Laguna F.C.,19
"Al-Arabi (Saudi Arabia, handball club)",4
Penn State Nittany Lions men's soccer,25
VCU Rams men's soccer,19
Club Balonmano Ciudad Real,3
Radford Highlanders men's soccer,18
Ignition de Détroit,15
Портланд Сан Антонио,10
Laguna Football Club,19
Al-Sadd Sports Club Handball,96
SDC San Antonio,18
BM Ciudad Real,5
VCU Rams women's soccer,35
Plataneros de Corozal,3
Shabab Al-Bireh Institute,1
BM Ciudad Real,3
Al Sadd SC (handball),99
Sociedad Deportiva Cultural San Antonio,15
Akron Zips men's soccer,19
2011 Western New York Flash season,2
Yayasan Negeri Sembilan HC,13
Ignition de Détroit,25
Laguna F.C.,25
Tulsa Golden Hurricane men's soccer,29
VCU Rams men's soccer,74
Maybank HC,16
Tulsa Golden Hurricane men's soccer,9
Plataneros de Corozal,10
Radford Highlanders women's soccer,24
Laguna F.C.,12
Plataneros de Corozal,2
SDC San Antonio,14
Club Balonmano Ciudad Real,15
Laguna Football Club,3
Plataneros de Corozal,2
2013 NSCAA Men's Soccer All-Americans,6
Club Balonmano Ciudad Real,11
2013 NSCAA Men's Soccer All-Americans,10
Club Balonmano Ciudad Real,7
Penn State Nittany Lions men's soccer,2
UST Growling Tigers,19
SDCサン・アントニオ,88
Al-Sadd Sports Club Handball,66
Al-Sadd Sports Club Handball,90
Sapura HC,20
BM Ciudad Real,13
FIU Panthers men's soccer,21
Club Balonmano Ciudad Real,14
Sociedad Deportiva Cultural San Antonio,1
Equipo de fútbol masculino de la Universidad de San Luis,24
BM Ciudad Real,15
SDC San Antonio,14
SDC San Antonio,14
SDC San Antonio,2
Yayasan Negeri Sembilan HC,1
Al-Rayan SC Handball Team,5
Saint Louis Billikens men's soccer,24
Портланд Сан Антонио,3
Minija Kretinga,1
Al Sadd Handball Team,100
SDCサン・アントニオ,6
Sociedad Deportiva Cultural San Antonio,4
Club Balonmano Ciudad Real,3
Detroit Ignition,6
Yayasan Negeri Sembilan HC,2
Lekhwiya Handball Team,14
Sliema Hotsticks Hockey Club,24
2011 Western New York Flash season,38
Портланд Сан Антонио,21
Syracuse Orange men's soccer,24
BM Ciudad Real,12
Maybank HC,5
SDC San Antonio,6
Club Balonmano Ciudad Real,12
Maybank HC,14
Shabab Al-Bireh Institute,16
VCU Rams men's soccer,21
VCU Rams men's soccer,17
SDCサン・アントニオ,3
Sliema Hotsticks Hockey Club,20
Maybank HC,12
Al Sadd Handball Team,1
Shabab Al-Bireh Institute,17
SDC San Antonio,13
Club Balonmano Ciudad Real,17
Tulsa Golden Hurricane men's soccer,13
Akron Zips men's soccer,3
Al Sadd Handball Team,70
Al-Rayan SC Handball Team,24
Портланд Сан Антонио,1
Sliema Hotsticks Hockey Club,15
Maybank HC,9
Minija Kretinga,28
Shabab Al-Bireh Institute,6
VCU Rams women's soccer,33
Club Balonmano Ciudad Real,16
Akron Zips men's soccer,12
"Al-Arabi (Saudi Arabia, handball club)",7
Cincinnati Kids,2
Sociedad Deportiva Cultural San Antonio,13
Cincinnati Kids,19
FIU Panthers men's soccer,14
Портланд Сан Антонио,14
Shabab Al-Bireh Institute,4
SDCサン・アントニオ,15
